Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Average
2950,6363,3640,5206,6784,3606,4422,3221,3618,1827,4163.7
218,1987,2762,1297,2824,1819,158,2716,2553,2668,1900.2
482,4575,3544,2946,4686,2266,1235,1346,729,3209,2501.8
0,3515,1752,1555,2518,2118,2462,1499,4481,521,2042.1
679,1353,2196,2149,1183,3124,2672,1927,2221,564,1806.8
272,7980,1979,1843,2071,553,1594,1067,2972,1520,2185.1
2604,5453,739,1663,1211,3369,2645,1371,1528,1920,2250.3
0,3130,496,1130,1326,3976,1267,723,3087,1718,1685.3
0,1257,0,746,992,6602,822,632,915,688,1265.4
0,1976,938,0,3023,4201,0,576,567,0,1128.1
0,1196,3011,778,370,1260,1569,668,347,749,994.8
0,2523,2136,2995,1474,1957,1825,1409,1293,2820,1843.2
501,832,1242,573,212,1412,321,3115,285,824,931.7
695,0,2786,1607,1972,1124,1039,3069,0,861,1315.3
254,1986,2339,605,1118,1413,612,2714,0,124,1116.5
691,8,1170,0,103,413,0,2226,0,2208,681.9
670,1901,1494,1060,1310,0,2012,2290,453,1601,1279.1
657,1670,482,0,1138,1839,1772,997,0,746,930.1
1142,479,744,453,530,1886,2390,2553,937,521,1163.5
0,3622,1267,0,1281,1902,1271,1363,699,901,1230.6
674,1874,1526,831,0,281,1778,1233,1104,1195,1049.6
1800,3020,1899,343,1727,1486,542,2679,351,548,1439.5
0,1921,2624,607,115,592,3127,2277,393,2972,1462.8
0,803,2617,2818,89,2769,993,1344,504,2797,1473.4
2202,323,1450,1504,307,942,511,2968,1153,1670,1303
810,1446,2520,1119,487,1686,0,1137,450,0,965.5
547,1555,3134,432,0,35,1621,1137,2603,24,1108.8
0,1712,3431,43,0,959,863,461,1029,386,888.4
1054,1494,1939,626,307,25,880,869,291,548,803.3
1944,943,796,3150,0,986,200,1529,3113,964,1362.5
2652,213,216,351,688,2035,0,503,1038,0,769.6
1088,0,642,2355,851,2366,0,1054,1278,0,963.4
3615,162,1370,1485,22,1852,850,712,903,0,1097.1
570,1055,1844,798,973,827,3539,480,771,1889,1274.6
895,2180,442,504,456,717,2997,283,1886,562,1092.2
679,422,512,1180,286,2256,1102,540,0,505,748.2
0,4240,494,59,527,2293,2513,926,329,2111,1349.2
16,2423,195,755,0,1475,2052,270,0,1096,828.2
382,1872,349,1544,433,3030,210,680,861,819,1018
384,3301,485,1866,0,1285,1280,1521,0,3658,1378
0,1707,942,821,0,919,1227,1933,396,632,857.7
7,1829,929,1091,415,683,573,400,482,624,703.3
0,1888,1173,2119,0,1207,1110,472,1542,515,1002.6
0,1251,923,1295,0,2597,0,1075,1299,662,910.2
