Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Trial 13,Trial 14,Trial 15,Trial 16,Trial 17,Trial 18,Trial 19,Trial 20,Average
69,49,77,67,54,0,44,25,25,49,34,120,54,220,3,66,14,168,160,26,66.2
49,49,84,203,95,51,90,129,49,10,140,54,27,151,10,36,71,98,49,0,72.25
54,66,79,150,0,0,24,49,6,0,134,3,106,49,69,35,213,219,60,58,68.7
114,101,20,119,56,93,0,132,49,0,98,94,85,0,0,183,106,253,55,0,77.9
126,11,49,205,150,0,12,66,49,0,106,0,154,31,38,85,22,127,28,69,66.4
79,58,113,100,149,20,72,146,1,0,62,168,145,61,0,251,54,89,39,85,84.6
46,1,98,58,73,49,138,160,44,0,84,195,284,32,0,124,85,88,36,49,82.2
128,0,97,98,31,15,28,230,139,0,98,171,49,57,0,104,60,196,0,8,75.45
56,0,3,98,11,47,0,224,49,25,163,216,133,27,49,104,49,267,42,10,78.65
9,53,64,98,91,86,94,225,49,34,320,13,264,31,28,58,49,58,21,0,82.25
59,0,5,95,74,0,151,172,0,0,372,50,129,40,0,164,122,186,76,0,84.75
53,107,0,40,37,0,0,64,0,67,53,37,170,22,33,71,75,68,0,49,47.3
0,104,98,99,25,7,187,239,0,185,363,108,204,59,0,98,7,132,37,93,102.25
0,46,13,135,35,51,246,148,71,63,136,305,371,158,23,49,49,295,36,0,111.5
49,126,0,169,76,27,223,145,72,72,221,159,483,0,0,49,75,294,95,98,121.65
123,10,49,339,11,49,49,129,108,12,336,190,563,0,116,49,41,223,260,66,136.15
49,39,39,222,27,74,190,124,1,98,98,254,740,0,84,49,11,159,204,49,125.55
49,73,13,193,0,69,120,220,0,58,49,245,847,0,3,195,49,298,85,92,132.9
49,8,25,214,0,49,307,201,95,162,492,199,355,49,60,49,98,139,55,15,131.05
0,68,127,442,32,104,165,78,12,140,442,57,494,0,160,145,37,116,49,144,140.6
102,60,135,264,71,41,363,11,14,147,554,268,797,0,278,49,65,171,111,49,177.5
0,49,1,319,140,100,271,102,69,11,466,99,456,58,326,227,87,63,122,49,150.75
4,115,38,580,30,118,336,165,55,49,497,402,614,2,262,49,196,162,180,97,197.55
0,46,136,422,166,243,353,114,42,245,252,174,1000,56,323,0,98,200,410,0,214
39,121,0,550,24,113,553,189,85,67,391,225,707,0,313,125,282,130,158,49,206.05
17,53,34,311,147,49,492,98,66,62,192,42,460,21,497,147,246,100,158,49,162.05
0,69,70,654,38,221,381,178,17,208,359,488,394,0,236,158,245,157,71,175,205.95
49,44,98,341,24,196,829,205,27,385,392,283,643,0,359,31,300,206,132,0,227.2
131,41,147,458,49,147,525,287,95,387,129,153,737,49,205,73,105,417,125,1,213.05
49,136,0,393,49,215,254,98,66,241,416,351,646,103,344,136,198,286,125,80,209.3
98,95,49,619,39,147,451,110,20,406,516,50,377,15,191,341,56,393,282,12,213.35
52,100,8,628,49,245,653,175,32,147,506,282,630,9,211,391,366,72,206,43,240.25
171,322,57,643,45,420,330,154,70,162,196,116,509,55,275,263,270,194,172,11,221.75
1,83,49,455,24,300,410,18,253,300,248,182,832,58,292,376,157,161,240,48,224.35
0,447,80,196,177,196,645,126,167,196,375,98,765,0,226,293,283,85,242,98,234.75
147,176,147,256,35,245,438,367,0,235,498,160,700,41,275,269,126,147,204,0,223.3
99,282,49,578,120,441,456,0,119,392,585,298,336,102,85,412,302,196,258,165,263.75
144,245,49,653,76,356,588,69,116,294,527,259,606,155,170,128,216,144,234,64,254.65
49,105,98,464,83,272,552,49,31,357,361,327,502,0,205,468,145,45,241,79,221.65
32,154,0,609,223,264,696,98,173,304,309,298,354,89,211,505,120,136,28,69,233.6
,,,,,,,,,,196,262,282,155,261,281,211,153,89,141,101.55
,,,,,,,,,,147,349,305,44,272,178,274,0,171,0,87
,,,,,,,,,,385,314,223,62,506,190,121,271,197,63,116.6
,,,,,,,,,,155,204,206,64,468,237,404,125,123,77,103.15
,,,,,,,,,,180,159,445,137,447,408,116,49,66,27,101.7
,,,,,,,,,,357,81,631,192,336,354,147,65,177,29,118.45
,,,,,,,,,,251,221,296,102,331,186,330,196,275,36,111.2
,,,,,,,,,,71,130,549,80,217,196,127,147,125,194,91.8
,,,,,,,,,,399,129,359,111,411,333,399,136,132,115,126.2
,,,,,,,,,,129,141,761,172,336,207,299,0,152,98,114.75
,,,,,,,,,,588,223,361,282,323,494,227,57,183,69,140.35
,,,,,,,,,,333,355,146,62,488,633,132,107,215,139,130.5
,,,,,,,,,,336,533,507,204,229,545,321,30,318,119,157.1
,,,,,,,,,,713,316,521,10,409,281,365,172,267,165,160.95
,,,,,,,,,,539,503,571,147,319,303,338,166,332,184,170.1
,,,,,,,,,,260,390,532,145,452,594,91,62,271,219,150.8
,,,,,,,,,,357,261,244,130,463,634,216,85,284,269,147.15
,,,,,,,,,,445,131,341,54,635,514,56,94,390,51,135.55
,,,,,,,,,,435,49,545,98,215,612,102,421,309,49,141.75
,,,,,,,,,,784,166,608,11,286,432,9,308,185,224,150.65
,,,,,,,,,,501,640,345,108,379,533,298,282,218,365,183.45
,,,,,,,,,,229,170,505,157,422,525,258,491,326,309,169.6
,,,,,,,,,,419,323,632,275,607,340,96,525,280,194,184.55
,,,,,,,,,,385,252,462,120,555,204,298,382,351,238,162.35
,,,,,,,,,,473,277,379,96,782,404,98,157,465,393,176.2
,,,,,,,,,,658,180,587,157,513,405,159,395,300,390,187.2
,,,,,,,,,,580,304,726,98,305,347,103,133,344,55,149.75
,,,,,,,,,,426,251,506,213,728,486,298,369,255,338,193.5
,,,,,,,,,,318,198,578,175,135,378,69,270,326,129,128.8
,,,,,,,,,,380,31,500,265,236,548,175,482,369,284,163.5
,,,,,,,,,,651,469,457,0,187,366,108,406,375,150,158.45
,,,,,,,,,,341,181,495,128,86,283,53,398,333,365,133.15
,,,,,,,,,,416,268,418,571,377,514,331,380,273,128,183.8
,,,,,,,,,,407,394,506,218,672,488,245,360,166,368,191.2
,,,,,,,,,,359,323,633,195,276,393,139,596,328,311,177.65
,,,,,,,,,,580,245,811,353,366,738,49,632,333,419,226.3
,,,,,,,,,,714,339,649,411,587,365,147,405,507,255,218.95
,,,,,,,,,,701,452,512,509,373,581,98,521,353,414,225.7
,,,,,,,,,,408,371,717,188,612,456,147,528,359,242,201.4
,,,,,,,,,,305,320,460,509,315,608,148,631,283,165,187.2
,,,,,,,,,,865,361,683,114,509,337,49,422,142,386,193.4
,,,,,,,,,,384,334,552,306,531,324,511,397,240,363,197.1
