Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Trial 13,Trial 14,Trial 15,Trial 16,Trial 17,Trial 18,Trial 19,Trial 20,Average
5086,5405,4008,2580,3729,5637,5018,5803,4192,5405,3723,3400,2421,2805,3826,3809,5819,4077,2830,2566,4106.95
6500,4222,2231,2427,5229,5364,3451,4538,5243,4796,5590,3613,3167,2113,3336,3813,3463,3495,2850,4702,4007.15
3152,3591,4948,2318,3995,1972,2608,2356,2078,2414,1977,4488,4829,2079,1139,2842,2925,2059,1995,2762,2826.35
4014,4533,2662,2935,3641,2097,1940,4552,3889,4795,2436,2656,2967,3518,420,5659,4233,2062,2175,2837,3201.05
3499,3218,761,2570,1217,2372,946,4606,1304,1737,1757,4700,1311,1137,2290,3193,4598,4018,981,2882,2454.85
5301,2475,945,1679,3329,1230,2118,2545,2506,1192,2064,2395,914,2523,1389,865,2118,386,555,2898,1971.35
3109,1572,920,881,4956,1846,678,2539,2014,685,1870,2804,388,1205,615,4289,2879,1161,1395,1979,1889.25
3130,1713,1861,1293,2048,1276,917,1856,1100,881,1085,2136,921,1992,708,441,920,3310,2537,3253,1668.9
4157,1366,1674,614,6493,726,326,2283,24,0,2234,1338,489,2211,779,2170,109,126,779,1892,1489.5
1755,1519,631,2548,4235,1512,240,1758,1816,482,401,2049,0,1658,707,1543,760,2083,2257,1803,1487.85
2641,556,2025,1315,1344,840,467,2983,3423,1897,3809,758,0,1431,0,834,0,1333,1284,1590,1426.5
576,1262,341,568,3728,729,1615,1178,0,608,936,809,0,372,908,3118,924,1978,0,1225,1043.75
440,376,1389,1126,4872,819,0,3312,487,2857,532,396,0,0,1083,0,1893,581,48,916,1056.35
304,1278,1277,631,5702,424,3454,3910,695,2927,0,125,115,758,0,116,555,460,0,704,1171.75
180,223,0,250,4239,582,616,1513,702,2143,1937,482,494,104,1445,572,1056,1048,1215,4188,1149.45
435,298,426,1152,1396,772,0,3052,1518,2155,814,1179,811,0,375,701,270,1560,804,0,885.9
0,2134,46,627,2482,319,592,4748,0,1516,101,2194,849,228,2831,1147,1514,631,0,1412,1168.55
