Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Average
0,1,1,1,1,0,1,0,3,0,0,3,0.9166666666666666
3,0,0,0,0,1,2,1,3,1,2,0,1.0833333333333333
0,0,3,2,3,1,1,0,2,1,3,0,1.3333333333333333
0,1,4,1,1,0,3,0,1,1,4,3,1.5833333333333333
0,1,1,0,4,0,5,0,0,1,9,3,2
0,2,4,3,3,1,5,0,3,0,6,3,2.5
0,0,1,0,0,0,1,0,6,0,5,3,1.3333333333333333
0,1,1,1,3,1,2,2,4,2,3,0,1.6666666666666667
3,3,0,0,2,2,4,0,2,1,3,4,2
1,1,2,2,1,1,1,0,0,2,4,3,1.5
0,1,2,2,1,3,3,1,3,1,1,7,2.0833333333333335
0,0,2,1,1,0,3,0,1,1,2,4,1.25
0,6,0,2,1,0,3,0,0,2,4,4,1.8333333333333333
0,2,2,0,1,0,1,0,0,1,3,8,1.5
0,2,2,0,3,0,3,0,1,3,2,6,1.8333333333333333
0,0,2,0,1,0,0,1,4,2,8,3,1.75
0,0,4,0,2,0,1,0,2,4,4,7,2
1,0,1,0,3,0,6,0,6,4,1,5,2.25
2,1,2,1,3,0,2,0,6,5,2,5,2.4166666666666665
2,2,2,0,1,1,2,1,8,3,1,7,2.5
1,2,2,0,2,1,4,2,4,4,2,17,3.4166666666666665
4,3,6,0,1,2,4,1,5,6,2,14,4
1,1,1,1,1,3,4,4,3,4,3,9,2.9166666666666665
3,0,5,0,1,6,4,0,1,9,3,10,3.5
3,0,6,0,4,4,3,0,6,5,3,9,3.5833333333333335
1,2,6,0,0,0,9,1,1,6,2,13,3.4166666666666665
2,1,4,0,2,3,4,0,1,6,1,14,3.1666666666666665
2,3,3,0,1,8,5,2,2,7,0,15,4
6,1,7,0,0,3,3,2,3,6,1,13,3.75
2,2,4,1,0,6,4,2,3,3,3,5,2.9166666666666665
2,1,2,0,1,8,3,6,1,3,6,7,3.3333333333333335
4,0,5,0,0,2,8,6,0,8,3,6,3.5
3,3,5,0,2,2,3,6,1,7,4,7,3.5833333333333335
5,1,2,0,1,8,6,1,0,3,2,15,3.6666666666666665
7,1,3,0,1,3,10,10,0,14,3,11,5.25
5,2,5,0,2,5,6,10,1,12,0,11,4.916666666666667
3,1,14,0,2,6,7,10,4,5,1,17,5.833333333333333
7,2,11,1,0,4,9,6,4,10,3,12,5.75
6,1,5,0,0,5,6,5,3,12,7,7,4.75
7,1,11,0,0,0,6,5,2,14,5,6,4.75
3,1,17,0,0,6,13,9,5,5,2,8,5.75
6,0,6,0,0,3,8,3,2,5,2,13,4
5,3,12,1,0,7,7,7,2,7,7,8,5.5
2,2,7,0,0,6,9,17,1,8,4,12,5.666666666666667
11,1,9,1,0,7,8,11,0,8,12,12,6.666666666666667
3,1,7,0,0,6,10,15,0,8,3,19,6
4,1,7,0,0,8,4,10,1,9,4,16,5.333333333333333
5,3,9,0,0,3,7,16,0,11,5,9,5.666666666666667
0,3,13,0,0,3,6,8,1,2,6,23,5.416666666666667
3,5,16,0,0,7,11,8,0,9,8,15,6.833333333333333
2,6,10,0,0,7,14,17,0,7,10,12,7.083333333333333
8,5,23,0,0,3,8,12,1,7,9,22,8.166666666666666
3,4,8,0,0,6,4,10,0,5,8,10,4.833333333333333
5,5,11,1,0,6,6,15,1,10,6,17,6.916666666666667
8,2,12,0,0,4,5,13,1,6,11,15,6.416666666666667
5,5,9,0,0,2,4,13,2,13,8,13,6.166666666666667
6,4,10,1,0,6,6,13,0,8,8,12,6.166666666666667
12,7,14,0,0,5,5,12,2,11,13,13,7.833333333333333
4,6,10,0,0,9,8,6,0,5,15,10,6.083333333333333
4,3,8,1,0,10,10,12,1,4,17,18,7.333333333333333
10,6,18,0,0,2,6,15,0,8,12,14,7.583333333333333
5,7,13,1,0,2,11,11,1,12,13,17,7.75
5,6,20,2,0,1,8,13,2,6,9,8,6.666666666666667
3,8,19,0,0,3,10,7,0,4,9,7,5.833333333333333
5,7,18,1,0,0,11,6,0,6,11,4,5.75
7,4,11,2,0,0,12,5,1,7,5,12,5.5
5,8,17,0,0,0,8,14,3,2,10,11,6.5
3,7,6,0,1,0,13,9,1,6,5,12,5.25
7,5,15,1,0,0,6,13,0,9,6,10,6
3,4,10,1,0,0,10,9,2,12,5,13,5.75
6,9,5,0,0,0,8,16,2,10,5,6,5.583333333333333
8,3,12,0,0,0,11,4,3,11,8,8,5.666666666666667
11,5,14,1,0,0,9,11,2,3,6,11,6.083333333333333
6,11,19,1,0,0,12,12,6,10,7,5,7.416666666666667
10,4,12,3,1,3,7,16,4,4,5,4,6.083333333333333
4,6,9,3,0,1,6,11,4,10,6,3,5.25
3,2,4,1,2,1,6,18,3,11,12,12,6.25
5,7,13,1,1,1,11,14,4,12,6,9,7
5,11,16,1,3,1,8,16,2,9,6,14,7.666666666666667
7,8,15,0,0,0,11,19,8,5,6,10,7.416666666666667
4,6,13,0,0,1,8,19,3,5,15,3,6.416666666666667
9,13,13,0,0,6,13,19,2,10,9,6,8.333333333333334
1,0,14,2,0,1,12,17,3,9,10,7,6.333333333333333
6,7,7,0,2,2,9,21,2,10,7,4,6.416666666666667
7,5,10,0,0,3,9,13,3,17,13,9,7.416666666666667
3,3,9,1,2,3,8,18,6,15,9,1,6.5
6,7,6,1,1,3,11,14,2,5,7,5,5.666666666666667
6,6,5,1,2,2,11,22,3,7,12,6,6.916666666666667
