Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Trial 13,Trial 14,Trial 15,Trial 16,Average
2,1,3,1,0,1,2,0,0,1,1,0,1,1,3,1,1.125
0,2,0,1,1,0,1,1,3,0,3,1,1,0,2,1,1.0625
0,1,1,2,1,0,2,3,0,1,1,2,0,4,1,1,1.25
2,1,1,0,2,2,0,2,2,1,4,4,0,3,1,0,1.5625
0,1,2,1,2,0,1,1,0,1,1,1,1,2,0,1,0.9375
1,2,5,0,2,0,1,0,0,1,3,2,1,1,3,1,1.4375
1,2,3,0,5,1,0,3,0,0,2,1,0,2,1,1,1.375
0,1,0,1,6,0,3,1,0,0,0,0,1,4,0,4,1.3125
2,0,0,3,3,0,2,3,1,0,1,0,1,6,1,4,1.6875
1,2,0,0,4,2,3,2,0,0,2,2,0,3,1,2,1.5
1,1,1,1,1,2,2,4,0,2,3,3,1,1,1,4,1.75
1,2,0,0,0,1,2,5,0,0,1,2,2,1,0,3,1.25
1,6,1,2,3,3,1,2,0,1,1,4,2,7,3,0,2.3125
3,2,1,2,11,0,1,3,1,2,1,2,0,4,1,2,2.25
0,2,0,3,2,0,2,0,0,3,5,1,3,8,0,6,2.1875
1,1,2,3,2,1,3,4,1,2,1,1,1,4,3,2,2
2,2,6,3,9,1,1,3,0,0,3,2,0,4,3,6,2.8125
2,8,2,5,3,2,1,3,0,0,0,6,1,5,1,5,2.75
0,2,1,4,6,3,3,5,0,1,7,2,1,5,3,8,3.1875
1,2,1,1,7,1,7,4,1,3,3,4,0,10,1,2,3
2,0,3,1,9,0,1,4,2,0,1,2,1,6,6,5,2.6875
2,2,1,2,4,1,5,4,0,2,2,4,0,7,0,14,3.125
0,8,3,2,16,0,2,6,1,1,4,2,1,5,2,9,3.875
2,4,0,4,6,5,2,3,0,0,1,5,0,5,0,3,2.5
5,4,1,5,4,8,1,6,0,2,0,9,1,5,3,6,3.75
0,3,4,4,14,2,1,3,0,4,3,1,2,5,0,10,3.5
1,3,2,3,8,2,1,8,1,2,0,4,1,11,1,12,3.75
1,1,5,5,8,6,2,11,0,0,2,5,1,6,2,5,3.75
4,3,0,3,7,2,2,15,0,2,2,0,2,7,4,6,3.6875
1,5,2,5,8,8,3,15,1,1,3,1,1,9,5,5,4.5625
1,1,6,6,8,3,3,10,2,1,3,2,0,9,5,8,4.25
1,2,2,5,9,0,9,9,0,2,4,4,0,9,5,14,4.6875
2,3,4,1,16,5,3,15,1,6,3,0,0,15,6,11,5.6875
4,5,4,5,8,1,4,11,0,4,0,4,0,10,9,11,5
0,4,3,2,8,8,5,11,2,4,6,0,4,13,6,12,5.5
6,5,2,8,12,6,2,16,1,5,2,2,5,11,7,12,6.375
1,5,5,9,11,1,1,16,1,8,4,5,1,9,5,8,5.625
6,5,5,11,9,3,1,14,1,5,6,2,5,13,3,4,5.8125
1,3,6,10,6,3,4,17,4,5,2,2,3,6,3,10,5.3125
3,11,4,5,6,4,5,17,2,10,2,5,2,12,4,6,6.125
,,4,6,8,0,4,16,3,5,3,2,4,16,3,5,4.9375
,,6,5,9,1,5,22,1,3,5,3,2,14,3,2,5.0625
,,10,6,10,2,4,9,5,6,2,4,2,14,4,11,5.5625
,,2,6,13,1,5,15,6,8,3,3,3,18,5,6,5.875
,,7,1,11,2,4,12,2,5,3,4,2,14,7,5,4.9375
,,2,1,13,3,4,18,2,7,0,5,6,19,3,8,5.6875
,,5,4,8,1,4,15,3,7,1,2,5,14,1,7,4.8125
,,3,1,5,2,7,24,0,9,0,4,3,12,6,8,5.25
,,2,5,8,4,9,16,2,4,4,2,3,8,4,4,4.6875
,,7,2,11,2,4,22,2,4,2,3,5,20,3,9,6
,,7,4,8,4,5,15,3,7,3,3,4,23,6,7,6.1875
,,2,3,8,3,3,16,1,9,6,4,5,12,1,7,5
,,2,8,5,4,6,14,2,8,2,4,5,10,3,11,5.25
,,2,3,7,3,9,20,2,10,3,3,5,12,4,8,5.6875
,,7,7,7,1,7,12,1,10,4,5,6,6,8,1,5.125
,,4,3,9,2,7,11,1,14,3,10,4,7,7,4,5.375
,,8,1,12,6,9,9,2,14,3,9,3,12,3,11,6.375
,,2,5,13,5,4,12,4,9,3,6,4,14,7,8,6
,,4,2,13,5,11,10,3,15,2,9,7,8,7,6,6.375
,,4,1,10,3,6,14,2,9,1,10,6,5,7,9,5.4375
,,4,3,13,3,6,11,1,13,3,8,5,11,6,13,6.25
,,8,10,12,3,8,27,9,7,7,10,5,17,2,9,8.375
,,4,5,7,0,11,17,4,9,5,8,1,21,9,8,6.8125
,,5,14,5,3,6,22,2,6,7,8,3,14,10,12,7.3125
,,7,11,9,2,3,22,8,7,5,9,12,8,5,8,7.25
,,8,13,8,2,5,15,1,18,6,6,12,15,10,16,8.4375
,,11,12,7,2,4,20,0,9,5,8,13,10,10,16,7.9375
,,2,10,8,3,11,22,3,11,4,7,5,10,11,13,7.5
,,9,15,4,1,15,26,2,7,6,6,12,13,6,8,8.125
,,6,18,8,6,10,29,2,11,4,10,5,9,7,13,8.625
,,4,20,4,4,8,23,5,18,6,10,8,12,10,13,9.0625
,,1,15,7,4,8,24,3,11,8,13,7,12,5,9,7.9375
,,3,12,11,2,7,25,2,14,10,3,11,9,10,14,8.3125
,,9,20,13,3,6,19,0,8,4,8,5,6,6,8,7.1875
,,11,9,10,3,9,19,4,10,6,10,11,10,5,16,8.3125
,,9,14,7,4,7,17,5,10,11,8,6,13,10,12,8.3125
,,5,14,11,0,8,18,3,6,6,5,6,10,7,12,6.9375
,,10,10,6,4,6,21,4,8,10,11,13,8,10,12,8.3125
,,11,23,11,7,5,25,6,7,8,8,9,13,4,12,9.3125
,,9,15,6,1,10,20,6,4,9,9,6,11,5,7,7.375
,,10,13,7,3,6,26,9,8,8,11,9,11,5,8,8.375
,,5,20,10,2,8,15,6,10,6,9,10,7,9,5,7.625
,,10,9,11,1,8,29,14,7,11,10,10,14,9,16,9.9375
,,9,8,6,5,5,23,10,8,8,10,10,12,9,6,8.0625
,,5,18,7,2,9,23,7,6,6,11,7,19,7,15,8.875
,,12,16,4,0,7,32,12,12,7,16,5,16,8,8,9.6875
,,13,12,2,4,3,25,7,3,9,11,7,10,8,7,7.5625
,,14,16,7,1,11,19,7,13,10,10,8,10,12,12,9.375
,,11,16,12,3,13,24,11,3,12,9,11,15,4,14,9.875
,,16,14,14,2,6,13,10,10,8,11,9,9,7,11,8.75
,,11,8,12,3,11,12,15,10,5,10,11,5,10,10,8.3125
,,3,16,10,5,6,10,11,13,12,15,10,12,9,11,8.9375
,,13,12,7,7,17,22,16,16,11,19,13,7,6,13,11.1875
,,7,19,3,5,3,17,12,9,7,12,7,7,6,18,8.25
,,8,11,8,2,9,12,12,10,4,11,15,7,11,15,8.4375
,,7,10,8,5,6,13,9,3,15,9,9,7,8,13,7.625
,,14,8,5,5,9,16,8,13,11,7,10,8,5,15,8.375
,,8,11,4,4,9,14,12,9,7,10,5,10,6,15,7.75
,,9,11,4,2,12,11,10,12,4,18,1,6,8,18,7.875
,,10,5,6,4,3,22,7,5,11,5,7,8,8,7,6.75
