Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Trial 13,Trial 14,Trial 15,Trial 16,Average
3,5,3,7,4,5,4,3,6,3,8,3,3,2,3,3,4.0625
3,5,5,6,3,4,8,6,2,4,1,3,6,5,2,2,4.0625
3,5,5,1,4,4,2,3,3,6,6,3,3,3,5,2,3.625
2,1,3,2,0,0,8,5,3,9,6,2,4,2,7,4,3.625
6,4,8,5,6,2,7,5,5,2,6,2,2,3,5,5,4.5625
6,6,8,5,3,2,6,5,4,2,8,6,6,5,5,3,5
5,4,9,8,4,1,5,5,2,3,4,2,4,4,3,1,4
3,7,4,7,6,3,3,5,9,2,5,6,2,6,9,3,5
10,11,7,7,11,5,7,1,1,7,4,4,3,8,12,3,6.3125
4,10,11,4,11,5,3,5,5,4,9,3,7,9,8,3,6.3125
6,7,12,3,7,7,7,6,5,1,9,3,4,7,17,5,6.625
6,7,10,6,8,6,10,0,4,3,9,2,5,9,14,4,6.4375
4,13,6,5,5,6,10,4,1,2,7,4,4,5,11,3,5.625
4,12,6,2,8,3,14,5,2,5,4,5,3,8,9,4,5.875
8,11,11,4,6,5,5,2,8,2,5,5,4,8,14,2,6.25
9,11,13,5,11,6,11,0,3,4,9,1,4,7,9,8,6.9375
3,16,17,7,7,5,10,4,3,5,12,1,6,5,12,5,7.375
4,16,15,5,12,6,5,4,6,2,10,4,6,8,8,10,7.5625
6,10,17,4,8,3,10,5,5,4,8,6,7,13,9,13,8
5,15,21,4,3,4,11,3,3,4,11,6,6,9,12,10,7.9375
7,15,16,4,7,7,10,4,2,3,9,6,4,11,15,9,8.0625
3,17,19,6,13,4,9,7,3,1,9,6,5,10,17,11,8.75
5,9,18,4,11,5,6,5,7,4,5,5,3,16,11,11,7.8125
5,11,15,2,12,11,9,4,5,2,7,7,1,17,17,9,8.375
5,12,20,4,14,8,12,3,2,4,11,4,2,11,14,9,8.4375
5,10,24,3,10,12,12,4,6,0,7,5,5,15,11,5,8.375
5,11,23,4,9,10,7,3,8,3,7,5,8,13,18,9,8.9375
5,11,19,4,11,13,10,3,6,1,9,7,5,17,14,10,9.0625
4,10,18,5,8,13,9,6,7,3,9,12,6,18,16,11,9.6875
8,12,21,6,14,13,6,2,4,7,13,8,5,18,13,12,10.125
3,7,25,5,10,6,13,13,7,8,13,4,1,25,13,8,10.0625
5,13,24,6,14,7,14,9,7,8,14,6,2,20,12,7,10.5
8,12,21,4,11,5,13,11,4,3,12,13,4,14,13,6,9.625
8,11,21,6,18,11,11,9,9,7,9,11,3,19,20,10,11.4375
9,12,20,7,15,7,9,16,4,8,13,10,8,12,16,7,10.8125
2,9,25,4,11,12,14,6,8,9,14,11,10,18,21,9,11.4375
3,8,22,4,12,8,13,13,8,12,14,10,5,16,21,9,11.125
13,13,21,5,18,8,14,12,6,14,13,13,4,15,21,6,12.25
4,13,18,9,23,7,7,10,5,9,17,9,1,24,23,13,12
10,11,21,6,13,8,11,10,12,9,14,13,3,23,23,11,12.375
,,18,11,16,8,9,14,8,6,22,14,1,19,19,10,10.9375
,,22,10,9,5,15,5,9,10,6,11,4,22,11,12,9.4375
,,18,10,10,7,10,11,11,11,19,17,4,18,17,9,10.75
,,25,9,15,10,12,6,9,4,17,13,3,18,16,12,10.5625
,,16,8,13,5,11,12,11,14,17,11,5,21,19,8,10.6875
,,22,8,16,7,14,8,7,12,8,7,2,15,16,9,9.4375
,,18,9,17,10,9,12,11,12,11,16,3,17,13,10,10.5
,,22,10,21,10,10,11,5,7,11,12,2,18,20,12,10.6875
,,23,12,17,13,12,10,2,11,18,17,3,19,20,5,11.375
,,15,14,19,12,12,11,11,12,8,21,3,20,19,5,11.375
,,12,11,15,13,11,11,12,8,8,21,9,16,19,10,11
,,16,6,16,14,15,5,17,6,13,16,2,16,25,12,11.1875
,,17,7,20,16,11,9,13,6,13,22,5,19,14,4,11
,,19,7,16,15,18,6,7,10,11,18,11,21,21,9,11.8125
,,16,5,11,14,18,11,8,5,15,16,4,17,16,11,10.4375
,,19,5,13,11,19,10,7,10,14,21,6,23,20,11,11.8125
