Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Average
64,81,68,49,59,122,118,88,23,92,76.4
60,62,196,0,16,88,114,220,110,124,99
73,65,178,98,25,257,76,59,122,145,109.8
88,186,194,0,109,98,76,132,79,116,107.8
58,193,217,45,147,202,142,74,0,139,121.7
182,97,116,70,230,88,48,237,161,0,122.9
118,79,394,214,249,41,220,123,0,328,176.6
258,122,173,193,243,147,116,173,49,0,147.4
205,280,0,197,213,272,64,355,0,122,170.8
260,214,304,507,186,76,64,147,0,104,186.2
299,164,211,147,334,179,259,313,155,187,224.8
227,213,275,441,287,314,52,241,0,258,230.8
254,210,212,214,422,346,76,466,62,98,236
333,94,514,294,440,243,77,356,307,259,291.7
362,351,270,131,554,112,104,392,197,299,277.2
175,495,410,98,233,114,49,147,124,309,215.4
380,277,433,226,478,303,107,447,250,824,372.5
655,100,416,135,253,342,99,399,212,419,303
253,318,568,448,255,511,175,343,366,414,365.1
815,214,565,211,260,449,259,345,339,327,378.4
744,147,229,305,380,439,196,245,172,440,329.7
517,255,743,725,292,645,361,487,454,585,506.4
670,174,412,343,509,735,0,245,356,253,369.7
839,351,365,493,555,456,314,440,252,630,469.5
1016,392,310,320,485,736,402,98,169,598,452.6
682,109,203,256,577,847,653,319,407,381,443.4
730,453,120,392,643,935,435,315,314,454,479.1
721,196,302,250,365,932,543,251,529,588,467.7
591,235,464,233,443,559,296,441,338,508,410.8
787,111,228,147,261,779,763,490,711,551,482.8
1065,52,257,259,568,705,724,196,479,788,509.3
1165,113,225,245,477,625,721,441,502,599,511.3
1181,134,351,376,666,849,837,531,566,773,626.4
759,251,503,481,378,918,718,294,443,797,554.2
943,222,76,637,377,1167,937,289,297,455,540
975,422,240,359,401,771,873,349,484,676,555
861,386,259,196,468,642,295,529,385,854,487.5
994,359,164,147,738,925,1152,125,421,737,576.2
782,234,366,314,540,744,950,331,404,900,556.5
1109,230,415,196,800,1013,720,535,337,583,593.8
600,615,396,245,592,623,925,536,539,491,556.2
1004,184,291,212,690,662,773,873,382,542,561.3
826,311,250,216,862,486,568,525,477,466,498.7
632,828,62,426,588,877,728,699,531,880,625.1
666,133,296,196,730,670,632,489,337,1053,520.2
797,398,338,301,886,1005,928,468,268,707,609.6
740,406,301,539,713,925,1077,761,426,1056,694.4
841,388,403,895,761,519,692,798,325,1104,672.6
1049,339,385,606,865,776,633,519,335,678,618.5
849,505,283,214,349,1098,929,623,294,834,597.8
854,457,497,392,863,911,794,710,340,476,629.4
1277,497,527,154,784,1146,383,514,458,466,620.6
530,508,332,566,682,981,1117,493,281,687,617.7
442,571,461,185,1117,1066,1102,612,303,608,646.7
862,411,531,490,990,708,781,848,440,798,685.9
764,498,453,378,710,538,605,545,565,638,569.4
862,481,293,290,620,844,1161,1048,462,540,660.1
986,447,238,589,760,818,788,1005,390,668,668.9
600,501,360,640,655,926,807,1123,360,665,663.7
765,562,378,555,1014,558,1169,637,510,759,690.7
700,495,506,429,1029,633,1051,674,170,535,622.2
719,582,605,515,794,862,1062,839,541,495,701.4
687,454,461,753,739,878,891,885,343,490,658.1
649,508,368,603,556,414,1027,632,349,581,568.7
700,743,543,643,1018,837,1255,714,336,350,713.9
998,597,574,540,737,844,800,709,251,222,627.2
907,622,444,923,756,532,1201,467,325,494,667.1
836,507,700,494,478,637,869,519,640,707,638.7
792,487,500,818,734,1008,905,741,347,959,729.1
647,452,424,892,921,395,714,790,424,579,623.8
1105,532,359,780,654,844,537,745,298,310,616.4
1108,618,561,616,1294,907,821,970,477,916,828.8
858,478,325,485,1059,758,555,438,594,652,620.2
764,525,402,655,1085,696,669,631,391,751,656.9
302,553,403,1076,1206,569,767,458,300,468,610.2
1115,558,732,679,1227,834,1591,538,179,611,806.4
992,513,659,543,946,1005,740,988,369,801,755.6
620,504,657,513,1274,746,1409,1139,405,530,779.7
700,585,736,1130,785,585,872,822,304,503,702.2
902,976,614,703,868,1230,828,603,517,826,806.7
784,578,761,1007,845,854,775,601,468,833,750.6
612,810,306,690,1164,801,1045,529,374,428,675.9
844,286,259,830,670,745,1053,986,591,642,690.6
849,559,448,1046,1102,1123,781,1055,392,937,829.2
867,528,599,659,1015,971,1245,521,567,878,785
830,772,691,1067,1038,759,958,665,495,627,790.2
831,646,720,1073,1239,810,1045,532,447,454,779.7
711,665,778,1022,1812,1154,931,872,369,568,888.2
918,421,735,1112,729,839,1046,653,463,665,758.1
1246,666,773,1249,989,631,705,601,305,502,766.7
730,827,732,971,848,877,722,875,371,549,750.2
779,330,548,813,555,896,979,505,477,856,673.8
895,827,453,1139,949,1125,1226,491,462,1186,875.3
888,662,606,937,1415,838,1036,419,617,717,813.5
825,364,573,799,918,811,531,400,553,1250,702.4
882,787,516,1201,769,611,931,892,496,799,788.4
742,592,657,706,929,854,911,911,290,640,723.2
819,562,632,1025,717,1021,750,581,604,685,739.6
793,696,331,1411,1211,527,1016,741,407,899,803.2
489,775,490,1193,751,865,702,587,424,1165,744.1
