Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Average
6,1,1,5,4,5,4,3,4,2,3.5
4,1,3,3,4,6,3,2,4,7,3.7
7,4,4,13,4,4,3,0,4,3,4.6
5,3,3,5,3,4,3,7,3,6,4.2
5,6,7,5,1,3,8,5,7,3,5
7,5,4,5,3,2,5,4,3,4,4.2
6,5,3,7,1,5,3,2,2,5,3.9
7,4,1,5,8,5,1,3,7,6,4.7
5,4,7,9,6,8,1,2,1,1,4.4
10,7,5,15,10,2,2,3,4,8,6.6
8,9,5,12,9,7,3,6,6,5,7
13,15,6,11,20,5,5,4,6,3,8.8
7,12,5,13,9,6,2,6,5,6,7.1
6,9,3,14,12,6,2,7,4,6,6.9
5,8,3,9,8,4,6,4,7,9,6.3
12,10,7,14,9,5,2,8,11,9,8.7
16,18,8,10,9,9,5,8,10,12,10.5
17,15,10,15,13,5,10,9,14,14,12.2
15,13,7,8,9,7,7,9,16,15,10.6
17,14,7,14,5,6,9,5,15,13,10.5
20,15,7,11,17,13,6,11,14,15,12.9
23,15,4,6,11,10,11,17,13,13,12.3
27,13,13,8,10,8,7,13,19,16,13.4
28,15,11,14,8,11,14,14,18,16,14.9
25,3,9,9,14,14,11,12,28,18,14.3
27,10,9,7,14,14,10,11,16,20,13.8
23,9,12,11,12,14,10,17,13,19,14
24,11,10,12,11,12,11,16,15,20,14.2
31,7,13,13,7,13,14,13,17,18,14.6
28,15,12,12,13,7,12,14,15,15,14.3
27,15,14,14,19,18,15,12,19,24,17.7
23,9,9,7,15,14,5,13,10,17,12.2
24,12,9,9,13,15,11,12,16,20,14.1
28,7,6,10,16,9,15,20,20,15,14.6
26,9,10,10,27,12,11,18,19,17,15.9
21,11,5,13,18,12,19,12,17,20,14.8
25,18,11,9,14,13,18,12,19,20,15.9
18,16,12,11,14,16,14,23,17,23,16.4
23,22,12,10,14,14,13,22,28,15,17.3
22,19,11,12,9,13,17,20,21,23,16.7
24,21,7,10,15,13,20,19,21,24,17.4
21,29,13,9,19,10,17,20,19,29,18.6
26,24,20,7,22,13,10,18,22,25,18.7
23,20,6,5,14,10,18,25,26,20,16.7
26,19,17,11,13,12,16,22,21,26,18.3
19,14,17,7,15,9,15,21,21,28,16.6
24,15,20,12,18,9,10,20,22,23,17.3
23,20,16,7,16,15,17,23,20,23,18
26,20,18,10,13,19,13,21,22,24,18.6
24,21,21,7,14,16,13,27,19,21,18.3
23,14,18,11,22,21,11,23,22,22,18.7
22,20,16,11,16,20,13,23,17,21,17.9
29,20,22,12,15,21,10,23,22,20,19.4
22,15,15,15,12,15,10,18,19,16,15.7
22,23,16,11,11,21,11,25,26,23,18.9
14,25,16,12,14,21,21,24,18,17,18.2
27,24,15,11,13,12,19,25,24,23,19.3
27,27,16,9,16,22,20,28,26,25,21.6
19,22,17,17,12,19,14,25,23,25,19.3
19,25,21,12,12,21,17,26,22,22,19.7
24,24,22,12,10,17,19,22,22,18,19
20,24,22,13,14,16,23,21,25,20,19.8
24,22,24,14,13,24,25,30,22,23,22.1
20,31,15,16,14,21,27,26,24,26,22
23,29,18,14,13,16,17,24,27,21,20.2
27,25,22,12,17,19,22,26,25,24,21.9
31,26,18,14,13,11,16,29,25,23,20.6
29,19,19,15,9,17,19,30,19,23,19.9
26,19,20,9,11,14,23,32,25,22,20.1
29,19,21,14,9,20,11,28,19,20,19
27,18,16,15,9,18,12,26,27,31,19.9
27,24,19,15,6,17,19,25,25,28,20.5
25,28,20,16,8,16,22,25,18,22,20
23,19,16,15,9,24,17,23,25,21,19.2
25,23,24,19,11,14,24,20,29,24,21.3
27,24,20,20,10,19,9,22,27,19,19.7
23,23,17,22,15,14,17,26,25,17,19.9
23,30,20,19,15,9,11,19,28,24,19.8
21,26,18,21,12,18,18,17,29,22,20.2
29,27,15,22,15,15,20,17,26,18,20.4
26,29,16,20,12,19,19,24,26,26,21.7
29,25,21,20,18,14,21,28,29,23,22.8
24,26,14,17,17,22,19,20,27,22,20.8
26,25,20,21,7,13,15,21,24,22,19.4
24,26,17,26,18,24,19,26,23,24,22.7
29,21,16,15,16,22,19,20,27,18,20.3
30,26,16,16,15,15,20,28,28,21,21.5
27,21,15,18,19,15,26,28,31,21,22.1
26,26,21,20,16,18,22,23,24,17,21.3
25,18,14,22,17,22,19,20,27,27,21.1
26,22,17,16,18,28,25,15,27,15,20.9
28,23,18,21,17,19,16,21,23,22,20.8
26,30,18,24,17,16,19,25,27,19,22.1
23,25,17,21,17,22,18,25,22,23,21.3
22,26,13,24,15,22,20,26,26,23,21.7
22,27,19,17,23,22,20,25,23,22,22
24,29,18,20,23,14,18,25,21,23,21.5
20,26,18,20,22,18,22,19,23,21,20.9
27,27,17,21,22,24,20,24,19,20,22.1
26,25,22,20,23,21,21,27,16,25,22.6
