Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Average
3245,3398,2780,4612,3902,3282,3119,2506,903,4236,3198.3
973,3721,4133,3095,3186,3911,2068,2860,4367,2166,3048
1163,1275,2104,3849,1617,3225,3847,2542,2370,1989,2398.1
3893,798,1604,2415,2848,2351,2464,1158,1176,2916,2162.3
836,1746,2509,1279,2847,3153,3563,1760,799,630,1912.2
908,1661,536,2273,3479,4168,1771,1689,1757,2420,2066.2
683,1022,945,1609,809,2862,3227,891,1666,746,1446
575,1414,5213,2439,563,820,2297,2126,279,3025,1875.1
897,1208,4877,1555,2171,2666,1622,312,299,1236,1684.3
0,961,472,539,3275,2152,1003,1125,622,385,1053.4
1524,1452,2062,1178,1107,1401,115,1312,393,568,1111.2
78,390,1508,0,1008,2102,320,972,597,499,747.4
1033,1437,2421,2179,2526,758,226,1417,713,283,1299.3
1474,317,1173,1385,1759,1028,98,758,276,0,826.8
443,1462,1594,2097,1260,1238,339,1301,82,867,1068.3
800,621,230,1746,637,0,432,1261,0,34,576.1
0,848,706,671,2005,280,0,1253,0,408,617.1
0,466,1324,1311,1534,1258,0,596,1627,0,811.6
0,0,1845,1933,2651,449,917,2147,294,0,1023.6
0,567,2899,3058,303,977,0,1441,573,0,981.8
0,1230,921,1311,881,0,177,0,648,0,516.8
260,436,1373,3541,4898,1386,604,0,0,0,1249.8
596,205,2862,1010,4536,1083,0,0,1969,0,1226.1
0,590,2361,2419,1708,2542,352,0,0,579,1055.1
0,959,2703,2199,2222,1436,0,0,0,0,951.9
0,1570,3201,8,731,0,0,0,336,0,584.6
0,594,663,1919,497,2195,0,0,463,273,660.4
790,1907,1863,1175,1777,1605,0,299,1758,0,1117.4
224,968,3469,900,747,2174,246,0,1300,489,1051.7
644,728,865,695,944,0,0,0,449,0,432.5
0,245,242,963,710,560,0,0,0,1165,388.5
3,1406,2449,795,601,1062,0,265,2305,27,891.3
0,716,1873,1110,1109,24,0,0,844,1063,673.9
2288,367,596,837,452,582,629,0,278,1344,737.3
0,209,814,1289,381,473,0,0,366,322,385.4
670,0,653,916,4,472,0,0,739,1625,507.9
2440,0,602,1587,292,2151,874,0,1218,369,953.3
38,0,179,2958,603,1715,312,0,1146,0,695.1
631,0,2343,45,435,1224,178,0,381,1483,672
0,2639,1291,2279,1978,2641,0,14,1182,1372,1339.6
0,973,1016,392,943,1762,0,136,2984,859,906.5
409,510,3155,0,501,348,739,0,573,0,623.5
285,2523,858,91,796,3151,86,0,675,888,935.3
0,2928,2594,243,1080,1540,983,393,55,0,981.6
647,1447,2345,0,2674,2174,639,503,492,1004,1192.5
512,1484,2965,182,1598,2709,0,651,319,731,1115.1
1001,3405,2429,0,2108,2763,0,0,823,1527,1405.6
1047,180,505,422,2241,1003,51,142,2342,622,855.5
0,1136,1437,648,2071,812,446,0,779,5307,1263.6
1730,2233,1865,141,381,1167,1547,0,982,1459,1150.5
995,669,310,749,0,710,892,1313,1288,4001,1092.7
1535,1896,1590,1352,2320,0,545,0,844,7141,1722.3
1368,1237,2269,488,2280,0,468,0,1662,3854,1362.6
633,954,1550,0,1440,902,45,2140,1257,1652,1057.3
350,1178,1014,0,525,1188,650,503,1921,2542,987.1
1402,674,1494,851,2275,1911,842,1329,1024,1744,1354.6
0,257,1125,27,2109,360,457,605,1229,1029,719.8
647,255,561,921,2007,597,0,606,698,687,697.9
1505,530,1070,1243,1906,3095,752,1945,1524,391,1396.1
1883,1529,584,509,3825,558,911,664,388,2003,1285.4
652,690,294,958,2058,313,526,985,558,530,756.4
0,1008,277,1211,2930,1030,1043,1774,1591,2460,1332.4
823,2450,1151,588,1256,1088,0,1910,1454,0,1072
1719,412,1631,2239,3274,693,482,1284,617,0,1235.1
446,445,332,1877,2211,1283,2119,1202,1226,746,1188.7
0,0,0,616,1487,1334,0,632,873,999,594.1
0,580,2136,879,1715,678,625,610,1475,0,869.8
0,502,2557,1289,1001,967,386,0,1518,0,822
0,1884,1102,1480,140,1690,2559,0,579,1573,1100.7
15,937,2167,0,1161,1481,1860,0,1760,1130,1051.1
754,712,1725,0,1429,1136,623,1340,1210,1873,1080.2
0,1070,1924,0,1404,1265,955,353,1441,1230,964.2
91,371,985,258,762,751,3643,660,949,2356,1082.6
1630,2605,1536,1121,1485,408,343,595,1275,1998,1299.6
1394,723,530,1174,1814,955,0,3523,0,0,1011.3
1219,1045,1669,275,423,1175,373,3285,214,1036,1071.4
2056,1577,665,0,4111,1094,2059,1258,2256,1272,1634.8
1459,675,2731,0,3388,653,408,675,0,3153,1314.2
2463,544,2142,204,2039,0,34,3499,1124,1916,1396.5
40,895,1552,321,1581,1462,0,835,254,1438,837.8
551,405,2602,277,1411,965,704,1344,622,1392,1027.3
0,0,854,475,978,2135,596,1876,1727,1054,969.5
826,552,1227,1054,445,628,484,1333,946,134,762.9
1321,1272,2130,638,1675,2397,108,1942,41,572,1209.6
768,1393,3745,610,411,1217,2527,216,223,472,1158.2
426,2399,1898,772,10,1600,929,683,319,0,903.6
0,391,482,0,392,1483,1377,1301,981,258,666.5
77,1373,1701,472,1193,1411,814,644,475,2370,1053
722,1536,1718,481,736,304,832,295,2447,1125,1019.6
102,350,3153,270,1913,353,48,1099,1157,1264,970.9
0,2724,1562,818,1832,0,0,2139,356,1583,1101.4
1327,501,816,0,1329,1055,578,1112,601,531,785
287,857,1394,797,827,340,537,137,386,1014,657.6
1080,1473,2642,1850,375,643,977,942,967,671,1162
1861,2181,2111,1085,0,616,16,0,842,0,871.2
1556,0,754,1553,299,1119,1061,0,569,2237,914.8
516,1027,343,2087,798,1346,0,0,1286,1276,867.9
1256,1770,1579,1162,0,860,0,0,495,1938,906
284,2909,4739,460,1422,1996,293,0,1725,1222,1505
1383,827,1599,437,0,1134,205,332,2306,505,872.8
