Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Average
7,0,4,3,2,1,4,3,2,4,3
6,6,1,4,3,5,6,4,0,3,3.8
5,2,2,1,2,2,4,1,4,4,2.7
11,3,1,2,3,3,6,2,4,4,3.9
7,4,2,0,6,4,8,1,9,3,4.4
9,5,2,2,4,2,10,1,4,2,4.1
7,8,1,3,6,3,7,1,5,5,4.6
13,6,2,1,1,4,9,2,4,4,4.6
6,7,7,4,1,7,6,2,4,5,4.9
9,6,6,2,1,4,4,1,4,10,4.7
13,8,5,2,1,5,11,2,3,3,5.3
7,10,8,4,4,6,8,1,9,3,6
13,9,4,6,1,6,6,3,5,4,5.7
9,7,3,2,4,8,7,1,4,11,5.6
17,4,12,2,7,3,5,3,2,8,6.3
12,8,14,5,2,8,9,1,5,14,7.8
16,6,9,5,3,6,7,1,4,11,6.8
13,8,9,3,3,6,8,5,6,12,7.3
21,12,13,4,8,5,8,3,3,11,8.8
16,14,15,4,7,6,4,0,4,9,7.9
20,10,10,2,7,6,8,4,5,10,8.2
17,9,11,8,12,7,11,1,6,9,9.1
19,10,11,4,12,16,3,2,7,12,9.6
18,13,11,5,12,8,8,3,4,12,9.4
18,10,13,5,14,8,14,4,7,12,10.5
17,15,15,5,17,14,7,2,2,12,10.6
16,15,10,7,11,7,8,2,2,9,8.7
25,13,10,7,14,10,8,0,5,7,9.9
21,15,15,3,18,14,7,1,6,9,10.9
13,9,10,6,18,14,13,1,2,10,9.6
15,17,11,6,21,15,8,2,7,12,11.4
19,20,9,6,17,18,10,0,3,9,11.1
17,15,4,6,19,13,8,2,7,9,10
15,12,4,4,17,16,12,1,2,12,9.5
19,8,9,5,17,14,16,0,5,10,10.3
22,17,14,5,13,12,14,2,3,10,11.2
14,18,11,7,14,16,15,5,3,14,11.7
21,17,11,9,12,12,17,0,5,7,11.1
22,11,9,4,17,14,13,1,3,8,10.2
20,15,9,6,12,13,16,3,2,10,10.6
20,20,8,3,19,13,5,3,2,13,10.6
22,21,9,5,9,16,16,2,0,13,11.3
23,21,11,5,8,18,13,3,2,12,11.6
18,15,9,6,15,11,11,4,1,13,10.3
25,19,7,5,14,15,8,1,4,13,11.1
19,16,8,9,19,13,13,1,1,17,11.6
13,18,9,5,14,11,14,3,0,15,10.2
15,19,9,14,13,15,11,1,2,17,11.6
19,21,11,14,13,15,14,3,2,19,13.1
18,19,8,19,15,11,13,1,7,21,13.2
23,22,6,23,15,12,16,2,0,23,14.2
28,13,8,11,19,13,11,0,5,18,12.6
22,18,9,15,12,16,13,2,2,23,13.2
25,22,7,15,9,15,19,0,3,25,14
21,16,7,17,16,9,11,3,2,19,12.1
20,13,7,16,9,10,19,0,5,27,12.6
28,18,6,13,14,14,16,3,6,25,14.3
20,14,9,19,9,19,14,0,7,24,13.5
21,15,12,16,15,17,20,0,3,21,14
18,18,8,14,12,14,14,0,12,19,12.9
15,22,5,16,9,10,14,1,12,19,12.3
22,19,7,14,10,7,16,0,7,17,11.9
27,23,9,12,12,11,12,2,10,21,13.9
26,19,5,13,9,13,19,2,7,15,12.8
23,18,10,14,10,9,10,0,10,19,12.3
22,12,9,16,11,14,16,4,10,19,13.3
18,13,13,13,8,18,14,3,8,20,12.8
20,16,10,16,11,13,13,1,3,19,12.2
18,18,9,12,13,12,10,0,5,18,11.5
25,10,7,12,12,13,10,1,3,24,11.7
19,13,8,17,16,11,18,0,7,20,12.9
18,16,10,15,14,17,17,0,11,17,13.5
20,20,11,18,17,12,14,0,7,16,13.5
21,21,3,20,13,14,15,2,9,19,13.7
20,19,4,22,12,20,9,1,5,22,13.4
22,14,8,13,15,14,13,1,6,22,12.8
25,19,4,14,11,11,16,3,7,17,12.7
31,14,4,20,11,20,13,1,11,17,14.2
25,15,6,15,14,15,18,1,9,16,13.4
26,16,10,15,14,16,11,3,9,19,13.9
21,21,7,15,12,16,14,1,6,18,13.1
23,18,9,17,17,16,19,4,12,17,15.2
33,15,5,19,15,15,15,1,13,21,15.2
22,22,13,15,18,23,19,1,7,16,15.6
25,22,12,16,13,19,19,2,10,17,15.5
23,16,11,12,11,22,16,2,8,21,14.2
23,16,12,18,13,21,20,0,8,21,15.2
27,25,5,13,15,17,14,0,11,23,15
23,21,6,16,14,20,17,0,12,19,14.8
22,20,7,18,12,16,14,2,14,15,14
22,23,12,9,14,20,16,1,10,17,14.4
20,22,11,13,20,16,13,2,15,17,14.9
18,22,8,14,18,16,13,1,10,23,14.3
24,18,12,15,17,18,10,3,10,21,14.8
18,23,11,12,14,22,14,2,12,21,14.9
24,17,5,20,12,23,14,1,13,20,14.9
22,24,14,17,16,21,14,2,12,27,16.9
22,15,6,12,20,17,15,1,11,21,14
16,18,12,13,15,22,15,3,15,26,15.5
19,16,3,20,17,15,11,0,8,17,12.6
