Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Average
1852,6474,4329,6315,3986,2559,2850,4021,3808,5745,4193.9
165,1552,3033,2863,4526,3868,4419,2549,4607,1114,2869.6
2491,1475,1813,3649,3923,4556,3171,3987,2793,440,2829.8
2927,1111,1222,3353,3212,1963,2387,3422,3040,3332,2596.9
2838,620,1083,2232,1243,2154,1093,2853,2857,822,1779.5
1274,0,1406,0,2008,677,1533,1819,4805,3379,1690.1
4858,553,2175,383,2030,802,1934,2778,4952,888,2135.3
1496,1273,895,1188,847,2247,1446,1716,2698,681,1448.7
5067,1254,1049,1376,2819,1228,2357,581,2118,2560,2040.9
1662,1440,31,379,4087,811,1835,1209,305,1515,1327.4
1869,2281,602,498,692,0,2042,397,1183,1230,1079.4
4603,1797,757,1539,1746,621,1680,1649,1781,249,1642.2
2257,2454,2490,2368,551,582,2513,705,1972,170,1606.2
2573,3117,1979,776,668,334,3595,1741,2049,361,1719.3
698,1296,212,701,622,545,2584,366,1414,550,898.8
3305,2580,401,416,0,0,2170,600,1109,0,1058.1
1986,2878,113,26,0,572,3013,768,1578,1091,1202.5
1485,2609,1115,1518,214,802,2452,637,612,535,1197.9
2233,1695,507,774,0,462,3227,471,0,356,972.5
1310,910,1328,1178,0,1888,4782,277,380,319,1237.2
1966,939,337,2710,550,430,1751,831,2804,1071,1338.9
1582,0,87,1635,0,1102,3690,310,1405,98,990.9
2198,397,4138,197,0,297,2600,861,1162,423,1227.3
791,1081,685,2031,662,717,1437,1446,5148,1042,1504
1354,815,1244,3564,0,0,1230,1083,1354,600,1124.4
1741,2012,823,774,0,411,1639,625,1257,144,942.6
497,1142,839,749,0,1057,3402,836,1150,544,1021.6
671,1137,659,2074,0,1097,2474,54,975,1173,1031.4
1541,158,599,3086,0,722,2102,1023,362,435,1002.8
3710,4229,957,1947,991,1789,1097,2099,1265,1867,1995.1
2252,342,612,2171,0,1566,1902,0,1500,705,1105
1190,91,785,68,0,653,1771,178,1456,343,653.5
1556,558,1046,262,0,419,3329,0,1246,2421,1083.7
1251,1855,39,2495,0,956,231,0,979,1003,880.9
636,1323,818,1825,275,1598,4286,382,1702,1070,1391.5
2067,769,1306,2599,0,1518,3522,0,1636,919,1433.6
2714,1347,627,807,298,1816,4438,714,1239,531,1453.1
2003,1934,1102,959,0,395,2743,0,922,538,1059.6
2268,1052,0,3130,1339,723,6342,0,1658,339,1685.1
794,1013,509,624,0,1046,3178,374,768,0,830.6
4386,708,563,312,0,961,5414,0,692,552,1358.8
1648,185,1045,396,841,1583,1512,318,1060,480,906.8
1616,704,1624,0,799,1405,3445,235,70,75,997.3
869,0,1643,0,0,1273,5125,77,1157,1885,1202.9
