Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Average
65,181,50,38,84,49,21,133,73,13,70.7
118,211,91,9,75,13,67,219,311,15,112.9
118,282,211,52,253,92,192,108,103,27,143.8
57,125,248,271,11,72,106,158,90,51,118.9
128,140,262,177,172,76,52,98,98,22,122.5
167,385,322,259,283,244,89,49,1,23,182.2
168,322,134,185,169,128,107,83,105,129,153
164,351,202,209,162,305,83,196,40,127,183.9
133,514,250,283,278,223,44,175,0,209,210.9
278,560,551,595,160,472,23,154,0,143,293.6
153,933,367,310,144,323,20,386,0,281,291.7
103,622,589,548,170,257,91,376,70,214,304
240,598,488,285,314,216,26,190,129,101,258.7
159,592,597,400,42,147,122,361,16,208,264.4
124,1061,708,558,218,147,26,516,71,146,357.5
123,592,568,334,156,74,78,230,68,152,237.5
170,800,720,249,251,49,198,280,68,171,295.6
164,762,500,407,127,184,10,176,124,128,258.2
207,384,526,313,74,164,138,433,66,79,238.4
218,924,609,263,61,246,86,282,136,74,289.9
178,494,691,189,277,319,145,379,186,214,307.2
219,516,856,281,225,460,19,473,464,174,368.7
123,381,664,214,95,331,99,452,284,91,273.4
208,713,875,286,177,509,151,246,161,94,342
147,290,689,382,209,354,18,190,257,96,263.2
235,852,1091,365,15,208,161,520,455,88,399
202,746,598,331,197,346,109,198,238,160,312.5
146,888,589,149,240,378,131,517,399,260,369.7
280,482,572,223,211,232,146,398,285,192,302.1
324,519,820,332,82,349,107,302,182,192,320.9
634,674,837,529,195,307,126,147,175,215,383.9
252,967,573,214,106,395,174,433,275,140,352.9
472,1075,570,361,102,418,128,198,331,143,379.8
335,1055,810,237,282,701,150,180,215,227,419.2
191,859,556,385,238,487,76,309,763,206,407
395,1108,408,660,203,516,155,496,589,185,471.5
611,619,555,467,49,462,108,447,415,185,391.8
449,989,921,682,14,328,269,303,329,156,444
450,1156,485,275,45,351,105,477,264,193,380.1
455,911,884,637,55,733,35,203,532,202,464.7
513,501,716,471,27,359,195,301,480,189,375.2
315,780,803,486,84,188,171,622,686,186,432.1
456,1011,1372,699,64,394,167,315,350,207,503.5
704,782,468,716,119,350,49,643,526,142,449.9
276,576,321,571,55,548,78,242,590,184,344.1
583,871,956,460,98,465,233,441,749,215,507.1
584,780,1089,542,65,199,11,359,471,247,434.7
563,664,529,664,7,386,39,342,500,195,388.9
669,516,690,783,56,153,127,402,263,304,396.3
413,514,794,901,29,307,134,425,644,126,428.7
615,425,936,620,113,274,204,474,243,243,414.7
306,392,595,477,104,331,205,464,283,158,331.5
365,341,531,430,273,330,305,363,307,296,354.1
486,581,720,896,135,223,317,275,374,170,417.7
517,750,406,876,188,341,116,274,401,223,409.2
756,839,568,619,226,59,207,398,355,243,427
332,732,705,893,182,436,548,251,448,302,482.9
452,340,345,573,268,617,298,637,496,164,419
643,375,795,506,230,256,299,98,535,223,396
581,555,1077,851,310,493,340,507,453,210,537.7
615,450,446,1255,123,514,301,294,490,154,464.2
387,336,700,621,138,393,274,469,671,153,414.2
528,470,773,853,251,209,351,294,605,218,455.2
538,470,706,635,277,467,190,504,865,117,476.9
507,480,856,376,98,322,334,344,460,145,392.2
478,387,1021,589,293,588,430,755,156,133,483
562,730,508,447,337,313,406,237,292,266,409.8
539,594,1075,996,270,357,344,294,264,216,494.9
685,427,813,825,470,581,343,147,362,247,490
452,699,999,684,376,691,109,534,687,404,563.5
657,396,1098,466,185,572,246,325,855,287,508.7
571,240,1033,562,101,858,214,245,593,322,473.9
450,546,835,742,150,499,272,205,798,247,474.4
733,792,527,871,305,826,218,98,525,334,522.9
393,521,309,300,128,490,358,441,541,238,371.9
580,583,447,481,724,505,396,343,898,211,516.8
425,308,384,616,253,591,257,176,733,388,413.1
608,729,662,421,467,574,356,405,1366,169,575.7
413,474,840,391,481,474,276,490,623,116,457.8
702,576,556,579,436,741,549,98,874,170,528.1
593,228,464,487,558,622,424,338,985,174,487.3
318,477,736,490,267,709,707,245,874,413,523.6
512,484,475,416,467,540,227,735,876,256,498.8
643,493,665,342,439,553,443,98,1015,523,521.4
502,511,374,826,251,530,473,364,948,339,511.8
567,427,374,632,360,519,533,196,858,490,495.6
542,380,859,475,370,706,393,148,745,415,503.3
664,788,594,831,211,825,548,196,841,255,575.3
821,344,539,474,231,551,434,343,703,349,478.9
378,693,342,709,113,611,229,196,799,323,439.3
432,504,643,866,159,801,434,441,1132,326,573.8
433,244,332,677,290,439,795,147,886,407,465
251,458,529,367,245,842,398,294,544,207,413.5
427,293,338,730,123,980,365,392,649,383,468
587,466,914,653,161,491,460,245,796,402,517.5
380,506,317,811,279,601,902,196,478,467,493.7
453,346,560,521,109,802,524,245,1041,421,502.2
513,561,605,668,208,753,485,98,578,247,471.6
349,305,488,660,222,574,789,490,681,517,507.5
374,302,398,1104,240,358,370,539,318,406,440.9
