Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Average
33,56,136,71,83,40,51,0,147,86,18,110,69.25
171,1,17,16,0,84,68,49,148,58,103,3,59.833333333333336
0,28,132,90,191,80,70,3,161,94,324,0,97.75
0,84,139,110,0,25,163,0,8,90,184,125,77.33333333333333
18,76,33,42,219,3,251,0,118,90,371,98,109.91666666666667
29,37,247,72,183,50,196,33,126,93,409,141,134.66666666666666
47,26,58,30,0,53,95,0,318,59,246,115,87.25
62,155,115,0,130,49,167,98,304,160,252,21,126.08333333333333
99,215,28,0,98,98,203,0,49,88,194,332,117
9,136,34,166,61,0,188,16,136,183,196,50,97.91666666666667
0,105,198,69,49,177,176,49,208,176,221,224,137.66666666666666
0,19,125,107,49,56,263,0,221,132,210,310,124.33333333333333
0,304,27,109,107,23,183,0,83,135,342,309,135.16666666666666
1,3,58,115,66,75,116,0,102,85,260,644,127.08333333333333
33,11,176,54,98,42,169,0,117,178,221,491,132.5
10,32,151,42,49,77,16,0,283,249,507,535,162.58333333333334
21,97,163,0,98,33,119,0,54,253,192,315,112.08333333333333
0,0,245,83,138,28,310,0,283,271,110,585,171.08333333333334
49,13,370,84,135,82,145,49,374,399,199,494,199.41666666666666
56,122,203,18,89,140,50,131,524,326,127,881,222.25
49,248,234,11,49,126,177,148,332,200,181,842,216.41666666666666
257,185,394,39,49,154,318,49,621,390,213,973,303.5
115,98,33,57,49,235,178,181,406,417,432,688,240.75
226,0,338,0,82,450,485,0,184,597,498,648,292.3333333333333
268,38,218,0,147,139,219,48,387,382,334,773,246.08333333333334
29,86,413,26,0,299,425,49,326,304,454,650,255.08333333333334
112,59,200,0,98,499,209,0,364,277,370,857,253.75
127,140,231,0,49,544,115,130,407,538,118,870,272.4166666666667
350,49,355,6,0,371,295,65,279,434,35,1042,273.4166666666667
71,123,247,49,0,579,241,108,238,236,215,1167,272.8333333333333
189,49,194,0,49,425,238,147,261,102,331,710,224.58333333333334
167,10,250,0,0,357,437,99,288,305,272,1042,268.9166666666667
72,167,334,17,114,166,615,294,298,374,316,759,293.8333333333333
195,123,126,0,49,510,521,99,246,332,58,976,269.5833333333333
257,115,172,0,67,199,836,489,245,827,206,842,354.5833333333333
197,57,258,1,107,356,435,404,357,266,70,1113,301.75
188,117,685,0,102,223,515,492,536,449,105,1092,375.3333333333333
245,161,642,49,90,310,625,241,475,590,386,1015,402.4166666666667
178,120,162,0,93,471,415,259,299,486,245,1050,314.8333333333333
160,180,529,0,58,200,484,275,189,564,297,657,299.4166666666667
123,188,694,0,63,497,698,381,438,220,251,742,357.9166666666667
147,79,287,0,118,150,616,49,467,375,188,1069,295.4166666666667
203,175,532,49,152,204,483,49,244,276,444,1009,318.3333333333333
193,198,274,0,0,386,580,770,420,474,437,920,387.6666666666667
604,144,165,0,74,564,508,512,292,545,943,602,412.75
229,238,340,6,72,323,799,521,338,410,438,894,384
162,202,296,0,53,398,507,392,262,418,399,1280,364.0833333333333
144,258,424,7,56,57,532,637,291,702,430,710,354
57,142,401,0,15,207,866,251,329,158,450,1442,359.8333333333333
147,309,539,23,128,734,765,294,236,433,699,969,439.6666666666667
155,175,315,12,45,390,576,679,347,350,951,788,398.5833333333333
196,208,927,0,57,333,464,331,284,481,780,1083,428.6666666666667
377,287,426,0,32,315,496,583,218,240,599,1058,385.9166666666667
256,222,586,64,50,329,625,407,148,607,360,750,367
381,98,582,45,93,312,875,753,247,596,676,1054,476
337,164,367,0,96,138,484,562,285,672,687,996,399
442,132,357,49,55,374,803,567,161,728,701,932,441.75
502,420,654,28,75,363,779,254,197,762,1181,1043,521.5
199,197,288,0,126,281,645,216,208,555,971,825,375.9166666666667
264,147,502,49,65,444,1051,446,155,322,959,1125,460.75
460,211,681,0,88,232,796,710,187,475,915,1048,483.5833333333333
454,245,446,0,56,285,1142,331,162,680,662,1251,476.1666666666667
269,401,895,98,126,386,946,609,258,690,522,727,493.9166666666667
234,363,623,48,113,578,860,391,129,236,567,553,391.25
254,360,930,60,83,224,1092,309,193,407,759,686,446.4166666666667
277,194,483,77,144,263,504,199,233,468,361,801,333.6666666666667
357,343,854,24,65,284,742,702,487,356,685,775,472.8333333333333
338,343,294,32,200,435,841,468,253,589,153,619,380.4166666666667
398,235,754,122,139,243,1069,678,292,453,444,874,475.0833333333333
288,311,623,88,148,337,957,330,380,632,408,854,446.3333333333333
665,438,270,55,159,222,987,754,372,837,339,422,460
376,200,605,9,296,127,685,230,440,579,470,769,398.8333333333333
503,247,848,0,77,275,868,638,346,263,373,586,418.6666666666667
271,829,965,77,135,252,925,455,514,492,529,610,504.5
364,385,487,173,281,534,682,639,634,303,205,614,441.75
192,233,382,131,102,337,423,509,499,284,350,539,331.75
163,187,445,121,295,258,891,857,622,461,754,931,498.75
240,320,733,93,275,299,808,637,608,445,333,636,452.25
340,466,699,82,297,319,492,724,551,653,389,881,491.0833333333333
452,548,860,55,368,330,932,849,940,455,343,650,565.1666666666666
