Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Average
165,70,30,89,132,67,69,49,49,41,76.1
239,103,83,196,21,11,91,78,44,10,87.6
167,111,0,2,0,156,337,10,64,249,109.6
247,161,48,95,30,49,355,16,67,106,117.4
336,267,24,49,76,189,59,83,112,27,122.2
246,107,195,0,100,1,175,49,12,99,98.4
112,203,155,0,45,55,297,0,82,26,97.5
305,198,49,0,49,60,354,99,62,14,119
276,462,125,11,49,49,406,0,108,21,150.7
125,545,117,186,0,198,263,75,98,102,170.9
382,322,209,144,0,47,263,0,98,0,146.5
545,541,233,169,96,117,271,23,145,0,214
435,282,404,188,49,17,305,1,98,99,187.8
644,570,516,21,0,80,517,30,166,67,261.1
460,408,258,0,198,147,241,49,98,148,200.7
643,441,84,174,117,188,215,181,137,85,226.5
654,367,388,38,0,166,247,74,49,214,219.7
767,417,351,176,167,318,155,49,0,192,259.2
635,377,251,0,186,431,304,49,147,275,265.5
563,438,442,24,137,222,521,10,332,184,287.3
696,339,583,49,222,249,288,103,28,166,272.3
422,530,129,47,179,233,465,0,121,364,249
284,644,273,45,311,159,282,17,148,289,245.2
560,179,167,0,375,214,284,49,295,363,248.6
930,338,473,65,364,177,402,0,311,170,323
633,413,224,0,398,321,292,98,64,151,259.4
584,281,308,0,431,387,192,60,49,253,254.5
470,347,218,68,475,232,383,49,275,210,272.7
438,357,321,53,811,272,467,0,174,107,300
608,465,300,99,680,342,352,68,98,132,314.4
459,768,246,0,395,420,386,49,0,247,297
655,447,342,12,673,553,680,49,216,308,393.5
402,884,274,37,617,286,308,0,147,169,312.4
579,1014,142,49,538,273,654,0,196,106,355.1
657,788,400,0,535,461,214,49,49,122,327.5
693,404,336,37,713,439,686,49,173,341,387.1
681,405,395,59,402,296,623,0,25,127,301.3
263,493,314,53,717,260,720,0,98,254,317.2
449,397,478,38,917,396,1027,49,65,485,430.1
269,731,487,0,612,410,471,98,98,310,348.6
336,506,613,99,588,305,637,0,147,273,350.4
435,420,724,0,517,318,398,0,49,210,307.1
274,471,323,0,909,365,352,0,147,235,307.6
384,259,406,0,791,477,543,0,147,423,343
518,497,464,0,674,429,532,0,149,511,377.4
465,404,428,113,621,401,416,98,98,450,349.4
335,325,449,98,501,406,351,83,147,404,309.9
327,600,561,169,516,443,399,49,196,425,368.5
308,657,331,133,807,470,462,49,53,700,397
472,464,278,145,307,313,403,0,0,467,284.9
577,484,160,104,751,477,514,0,61,352,348
215,622,427,155,717,381,803,49,1,434,380.4
539,428,49,248,559,257,201,0,106,405,279.2
407,332,349,123,852,223,406,49,207,574,352.2
547,594,388,334,657,355,694,49,147,345,411
436,354,526,223,1038,469,582,49,88,369,413.4
517,423,415,322,887,260,368,98,217,400,390.7
565,393,612,340,746,360,960,0,184,635,479.5
369,585,222,395,883,280,747,0,110,489,408
515,592,47,353,704,489,632,0,164,499,399.5
542,424,392,170,1104,184,446,0,319,431,401.2
348,430,176,401,1203,450,704,0,164,467,434.3
365,630,168,372,1174,411,530,0,122,132,390.4
514,315,453,201,1359,203,320,49,221,626,426.1
385,786,372,450,1184,341,818,49,106,476,496.7
310,474,264,473,1392,590,664,0,91,624,488.2
401,728,193,274,627,234,480,0,222,424,358.3
414,554,425,217,686,466,725,0,49,425,396.1
377,322,409,298,1056,382,372,49,229,549,404.3
341,712,415,276,1221,306,719,0,65,727,478.2
437,635,147,591,1214,544,532,0,66,565,473.1
786,696,339,401,1345,426,482,49,154,714,539.2
400,652,174,304,1281,465,586,49,91,628,463
268,729,519,480,1253,539,350,87,373,551,514.9
361,577,392,415,1356,448,264,0,51,608,447.2
649,729,278,255,1077,266,501,49,317,649,477
347,775,141,331,943,677,647,0,229,781,487.1
231,904,386,169,753,668,608,0,370,549,463.8
381,683,233,284,971,655,385,0,232,807,463.1
762,575,236,270,786,738,425,98,77,382,434.9
562,721,172,238,787,270,638,0,96,523,400.7
579,516,650,134,1189,580,402,49,168,478,474.5
376,735,174,283,1137,491,711,0,207,675,478.9
609,513,417,284,955,564,751,0,192,729,501.4
502,573,406,427,1688,497,564,35,185,208,508.5
463,844,347,443,1285,754,949,49,202,324,566
621,467,221,219,1405,578,398,49,187,719,486.4
382,890,537,321,949,506,701,49,235,697,526.7
831,848,406,250,845,319,407,49,492,423,487
656,851,325,199,991,560,705,49,397,932,566.5
838,623,490,160,1125,424,858,0,508,282,530.8
548,1061,382,314,1032,520,495,0,473,398,522.3
823,683,324,494,1619,551,412,0,575,279,576
571,537,436,322,1348,287,303,0,346,597,474.7
1112,422,162,405,1124,425,440,49,582,207,492.8
565,840,168,304,1375,393,457,49,606,605,536.2
1036,467,343,474,1230,411,267,49,459,362,509.8
494,529,154,101,1235,373,446,98,330,493,425.3
570,507,98,435,1596,302,548,147,436,279,491.8
651,452,203,265,1064,506,423,0,320,513,439.7
