Trial 1,Trial 2,Trial 3,Average
49,96,203,116
49,0,64,37.666666666666664
67,106,108,93.66666666666667
29,22,98,49.666666666666664
0,65,44,36.333333333333336
135,65,79,93
49,49,98,65.33333333333333
69,167,0,78.66666666666667
29,171,119,106.33333333333333
0,36,49,28.333333333333332
143,163,259,188.33333333333334
162,62,47,90.33333333333333
216,164,49,143
138,84,11,77.66666666666667
229,268,0,165.66666666666666
135,139,49,107.66666666666667
185,151,98,144.66666666666666
134,385,196,238.33333333333334
149,420,89,219.33333333333334
151,17,98,88.66666666666667
100,62,147,103
49,35,127,70.33333333333333
54,213,49,105.33333333333333
29,168,0,65.66666666666667
50,288,98,145.33333333333334
49,251,98,132.66666666666666
34,98,50,60.666666666666664
161,205,0,122
60,405,49,171.33333333333334
8,441,147,198.66666666666666
49,358,66,157.66666666666666
0,525,18,181
67,299,59,141.66666666666666
44,380,98,174
63,513,147,241
49,552,157,252.66666666666666
49,326,293,222.66666666666666
54,927,0,327
9,822,135,322
0,542,98,213.33333333333334
15,547,0,187.33333333333334
49,790,49,296
49,905,294,416
0,480,67,182.33333333333334
98,404,148,216.66666666666666
147,1097,202,482
49,981,76,368.6666666666667
49,542,391,327.3333333333333
3,807,336,382
49,705,469,407.6666666666667
49,793,256,366
0,695,378,357.6666666666667
49,330,199,192.66666666666666
50,913,403,455.3333333333333
98,731,380,403
147,891,138,392
0,536,258,264.6666666666667
84,684,274,347.3333333333333
49,771,235,351.6666666666667
49,970,337,452
98,673,357,376
118,586,507,403.6666666666667
15,466,139,206.66666666666666
108,863,184,385
0,515,377,297.3333333333333
0,678,315,331
194,578,217,329.6666666666667
196,470,604,423.3333333333333
6,780,457,414.3333333333333
98,316,576,330
0,736,704,480
364,741,575,560
245,821,702,589.3333333333334
509,667,652,609.3333333333334
98,834,538,490
286,819,494,533
180,519,871,523.3333333333334
135,713,584,477.3333333333333
213,1171,729,704.3333333333334
246,1005,555,602
404,765,530,566.3333333333334
290,733,335,452.6666666666667
606,578,557,580.3333333333334
167,764,428,453
225,559,505,429.6666666666667
258,633,401,430.6666666666667
257,526,741,508
196,592,553,447
78,688,738,501.3333333333333
196,784,359,446.3333333333333
196,846,529,523.6666666666666
107,638,373,372.6666666666667
392,484,439,438.3333333333333
196,398,677,423.6666666666667
98,507,630,411.6666666666667
343,600,461,468
294,1031,709,678
196,464,339,333
362,548,666,525.3333333333334
98,909,482,496.3333333333333
