Trial 1,Trial 2,Trial 3,Average
1,1,3,1.6666666666666667
1,0,2,1
1,2,3,2
1,1,2,1.3333333333333333
0,1,0,0.3333333333333333
1,1,1,1
2,2,4,2.6666666666666665
2,2,0,1.3333333333333333
0,2,2,1.3333333333333333
0,0,1,0.3333333333333333
2,3,5,3.3333333333333335
2,1,2,1.6666666666666667
3,4,1,2.6666666666666665
3,1,0,1.3333333333333333
2,3,1,2
4,3,3,3.3333333333333335
1,1,2,1.3333333333333333
5,6,6,5.666666666666667
3,6,2,3.6666666666666665
6,1,2,3
4,2,4,3.3333333333333335
3,1,6,3.3333333333333335
0,3,1,1.3333333333333333
0,4,0,1.3333333333333333
1,5,2,2.6666666666666665
2,3,1,2
0,3,1,1.3333333333333333
2,3,2,2.3333333333333335
1,6,2,3
1,9,3,4.333333333333333
1,4,1,2
1,10,1,4
2,4,2,2.6666666666666665
0,11,3,4.666666666666667
0,11,3,4.666666666666667
1,13,6,6.666666666666667
1,6,5,4
0,16,0,5.333333333333333
1,7,2,3.3333333333333335
0,7,2,3
1,10,0,3.6666666666666665
1,13,1,5
2,16,7,8.333333333333334
2,10,1,4.333333333333333
2,5,3,3.3333333333333335
3,16,4,7.666666666666667
1,17,2,6.666666666666667
1,7,6,4.666666666666667
1,8,5,4.666666666666667
2,11,7,6.666666666666667
2,13,2,5.666666666666667
0,11,5,5.333333333333333
1,12,3,5.333333333333333
1,13,5,6.333333333333333
2,8,6,5.333333333333333
3,13,2,6
0,6,2,2.6666666666666665
1,9,1,3.6666666666666665
2,17,2,7
1,21,2,8
3,15,3,7
1,12,5,6
0,10,1,3.6666666666666665
1,10,6,5.666666666666667
1,8,4,4.333333333333333
0,9,5,4.666666666666667
3,11,4,6
4,10,5,6.333333333333333
2,13,8,7.666666666666667
2,10,6,6
2,14,10,8.666666666666666
11,14,9,11.333333333333334
7,12,12,10.333333333333334
10,10,7,9
5,10,3,6
6,15,12,11
6,12,11,9.666666666666666
8,12,11,10.333333333333334
5,19,12,12
3,17,12,10.666666666666666
12,12,8,10.666666666666666
6,16,8,10
12,20,11,14.333333333333334
4,15,10,9.666666666666666
5,20,10,11.666666666666666
8,15,7,10
6,16,14,12
8,18,12,12.666666666666666
3,17,10,10
8,21,6,11.666666666666666
6,16,12,11.333333333333334
2,13,7,7.333333333333333
11,14,7,10.666666666666666
6,10,14,10
3,13,9,8.333333333333334
11,10,12,11
11,19,11,13.666666666666666
5,11,6,7.333333333333333
10,11,11,10.666666666666666
5,15,6,8.666666666666666
