Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Average
7,1,4,3,3,2,1,0,4,2,2.7
4,7,7,4,3,5,2,4,3,6,4.5
5,6,9,5,3,4,4,3,7,5,5.1
7,7,3,2,3,5,5,5,3,5,4.5
7,8,8,7,5,2,4,6,3,6,5.6
12,6,8,3,11,2,4,9,2,8,6.5
9,8,13,6,9,3,4,8,3,7,7
11,9,17,5,10,1,6,8,4,7,7.8
12,14,17,7,8,5,6,7,1,7,8.4
11,13,16,8,6,3,2,13,3,5,8
14,15,16,5,8,9,7,8,1,7,9
20,12,22,7,5,1,5,15,2,13,10.2
22,12,24,7,9,5,7,15,3,14,11.8
18,13,18,8,4,4,9,10,4,13,10.1
22,12,26,12,4,6,6,9,3,14,11.4
22,15,18,10,10,6,13,11,7,17,12.9
15,12,25,15,10,3,9,11,5,16,12.1
17,15,27,7,10,4,11,11,8,16,12.6
17,14,28,10,8,5,9,12,2,22,12.7
17,14,26,10,13,4,11,11,4,28,13.8
17,15,22,16,4,5,9,6,9,15,11.8
15,14,18,13,10,4,12,7,7,23,12.3
21,11,23,16,12,3,7,6,6,20,12.5
19,13,24,15,7,3,13,11,10,12,12.7
20,14,19,13,6,4,13,13,11,16,12.9
16,12,15,11,10,5,10,11,8,17,11.5
20,10,22,20,13,3,16,10,6,22,14.2
26,15,14,19,9,6,15,6,7,20,13.7
17,16,21,13,10,5,15,11,9,20,13.7
14,13,24,18,12,2,15,5,10,16,12.9
15,19,22,15,12,3,17,13,13,20,14.9
23,17,25,16,9,5,20,7,6,22,15
15,16,18,12,9,5,20,11,9,21,13.6
21,13,23,14,13,5,18,4,7,18,13.6
21,17,18,10,7,3,23,11,7,20,13.7
22,17,28,14,6,1,20,14,5,21,14.8
22,20,17,19,12,5,10,15,9,21,15
27,10,21,20,6,7,12,15,5,23,14.6
32,16,24,12,13,7,13,16,11,17,16.1
24,17,23,15,6,6,22,8,10,18,14.9
23,13,18,15,13,7,17,12,8,15,14.1
22,15,19,15,9,6,15,16,11,17,14.5
24,12,17,19,11,6,16,10,10,22,14.7
22,16,25,18,10,7,17,13,7,22,15.7
29,17,29,7,12,5,14,19,8,17,15.7
26,8,22,13,9,3,13,11,8,19,13.2
20,18,25,16,16,6,20,8,11,18,15.8
16,17,20,20,16,11,22,14,7,21,16.4
20,17,19,19,11,15,18,11,14,19,16.3
27,17,19,17,12,10,15,18,12,20,16.7
20,17,22,16,14,7,18,11,11,18,15.4
17,14,19,18,12,9,23,8,14,17,15.1
22,14,21,10,8,7,22,12,14,19,14.9
22,12,23,9,11,4,22,11,9,22,14.5
22,11,20,17,12,5,24,14,9,24,15.8
13,10,20,16,11,5,25,14,14,23,15.1
22,11,23,15,17,7,25,12,9,22,16.3
26,14,26,21,12,8,22,7,8,18,16.2
21,6,20,13,14,5,19,11,14,21,14.4
18,19,23,17,13,6,21,7,16,18,15.8
21,16,26,14,14,11,18,10,8,20,15.8
27,16,19,16,12,6,18,9,12,26,16.1
28,21,17,13,15,3,15,6,17,22,15.7
22,14,23,13,13,8,16,11,10,26,15.6
25,17,23,14,13,6,17,9,9,25,15.8
19,15,21,19,4,8,14,5,14,22,14.1
21,14,24,19,9,7,20,13,9,24,16
23,11,21,9,13,8,19,12,18,19,15.3
26,15,26,15,11,8,17,6,20,24,16.8
22,10,18,18,15,3,21,8,17,20,15.2
24,11,25,16,14,8,15,9,15,23,16
25,8,21,19,13,6,17,11,13,13,14.6
23,10,23,12,8,5,14,10,10,15,13
24,15,23,15,9,3,18,5,17,15,14.4
23,8,25,19,10,6,14,7,19,20,15.1
21,10,22,15,7,2,22,14,14,19,14.6
24,15,21,13,14,4,24,12,13,17,15.7
24,14,20,16,16,7,15,11,11,22,15.6
22,20,22,18,12,5,16,8,17,22,16.2
23,14,24,16,15,9,19,12,16,20,16.8
19,19,26,19,14,7,22,11,16,25,17.8
23,15,18,15,15,6,22,7,15,19,15.5
22,20,25,16,12,10,23,8,17,21,17.4
26,18,20,16,11,9,24,8,16,21,16.9
26,18,28,15,10,9,24,6,15,17,16.8
26,22,24,11,14,11,15,6,18,20,16.7
21,19,19,18,10,17,24,9,17,23,17.7
24,20,20,9,10,10,28,9,19,22,17.1
17,22,24,19,15,20,25,11,21,17,19.1
24,24,26,14,17,17,24,8,15,18,18.7
20,17,22,12,12,11,24,10,13,16,15.7
21,24,16,19,10,8,23,10,15,21,16.7
22,17,23,18,12,13,22,7,17,25,17.6
24,18,19,14,11,12,23,11,17,28,17.7
19,22,16,13,15,17,22,15,16,17,17.2
24,23,21,16,8,18,20,14,22,20,18.6
21,30,16,20,13,14,27,12,15,21,18.9
24,22,19,9,9,15,28,9,17,28,18
26,26,19,15,11,15,21,10,14,24,18.1
24,28,17,11,12,17,26,11,15,21,18.2
