Trial 1,Trial 2,Trial 3,Average
4,4,2,3.3333333333333335
4,6,5,5
4,5,10,6.333333333333333
5,4,4,4.333333333333333
4,2,10,5.333333333333333
2,5,3,3.3333333333333335
3,3,6,4
4,7,4,5
3,2,7,4
0,6,2,2.6666666666666665
3,5,6,4.666666666666667
4,4,2,3.3333333333333335
4,5,5,4.666666666666667
7,6,3,5.333333333333333
6,5,3,4.666666666666667
11,8,2,7
5,7,10,7.333333333333333
6,8,5,6.333333333333333
4,7,5,5.333333333333333
7,8,5,6.666666666666667
3,13,5,7
3,9,6,6
5,13,3,7
7,15,3,8.333333333333334
5,14,4,7.666666666666667
6,14,3,7.666666666666667
7,14,8,9.666666666666666
4,13,11,9.333333333333334
6,12,10,9.333333333333334
4,13,7,8
3,12,7,7.333333333333333
9,20,5,11.333333333333334
3,22,6,10.333333333333334
7,13,7,9
3,21,4,9.333333333333334
3,16,6,8.333333333333334
6,18,2,8.666666666666666
7,15,6,9.333333333333334
9,13,7,9.666666666666666
5,19,7,10.333333333333334
6,24,4,11.333333333333334
2,23,11,12
4,19,5,9.333333333333334
1,21,5,9
4,15,4,7.666666666666667
6,20,6,10.666666666666666
4,20,11,11.666666666666666
6,21,12,13
3,24,19,15.333333333333334
2,19,10,10.333333333333334
3,19,11,11
3,18,14,11.666666666666666
4,22,12,12.666666666666666
3,18,19,13.333333333333334
7,20,13,13.333333333333334
5,21,18,14.666666666666666
6,19,20,15
8,18,15,13.666666666666666
9,14,16,13
8,16,16,13.333333333333334
8,16,19,14.333333333333334
5,18,15,12.666666666666666
6,16,27,16.333333333333332
7,20,21,16
9,20,22,17
7,23,19,16.333333333333332
5,18,20,14.333333333333334
12,20,14,15.333333333333334
7,13,18,12.666666666666666
8,16,22,15.333333333333334
11,15,22,16
10,8,23,13.666666666666666
13,14,19,15.333333333333334
10,21,18,16.333333333333332
8,20,18,15.333333333333334
8,25,21,18
11,21,13,15
10,22,15,15.666666666666666
6,23,21,16.666666666666668
8,18,19,15
10,21,17,16
11,21,15,15.666666666666666
12,23,20,18.333333333333332
12,23,16,17
7,20,19,15.333333333333334
11,24,22,19
4,21,15,13.333333333333334
10,26,15,17
11,25,19,18.333333333333332
11,21,17,16.333333333333332
9,23,17,16.333333333333332
8,21,20,16.333333333333332
10,19,12,13.666666666666666
11,24,18,17.666666666666668
10,24,21,18.333333333333332
14,19,19,17.333333333333332
8,15,17,13.333333333333334
9,18,21,16
13,17,19,16.333333333333332
15,15,17,15.666666666666666
