Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Average
92,27,55,46,0,44
137,49,13,2,93,58.8
39,20,101,43,9,42.4
109,49,144,11,70,76.6
99,97,194,98,245,146.6
49,49,49,43,222,82.4
36,39,0,0,496,114.2
0,112,20,14,198,68.8
0,17,100,0,312,85.8
49,181,44,49,199,104.4
49,39,33,164,217,100.4
7,107,342,98,381,187
55,149,152,60,554,194
72,0,99,98,182,90.2
131,0,403,0,638,234.4
69,147,363,25,415,203.8
98,189,214,0,417,183.6
156,119,146,0,742,232.6
50,138,320,0,617,225
105,238,359,0,372,214.8
53,217,167,54,361,170.4
147,151,260,19,653,246
98,163,309,46,345,192.2
147,260,313,44,183,189.4
49,195,263,0,832,267.8
0,159,388,29,508,216.8
294,285,422,104,308,282.6
57,152,347,81,201,167.6
97,126,375,61,306,193
196,92,194,28,560,214
98,162,187,34,527,201.6
42,176,231,70,638,231.4
245,306,253,33,234,214.2
98,122,258,49,504,206.2
161,387,324,62,498,286.4
98,145,270,0,197,142
98,132,265,0,314,161.8
72,246,163,20,309,162
49,203,151,98,365,173.2
59,348,195,85,475,232.4
157,291,292,14,459,242.6
282,416,229,9,319,251
365,183,480,55,606,337.8
245,389,335,26,737,346.4
229,276,232,74,416,245.4
589,217,237,173,483,339.8
399,351,358,5,457,314
190,548,235,54,535,312.4
127,168,523,49,463,266
436,553,419,49,397,370.8
98,432,339,29,390,257.6
416,383,573,0,163,307
372,154,334,165,186,242.2
302,376,452,49,506,337
269,547,606,55,408,377
207,369,438,20,596,326
336,451,144,0,324,251
344,518,349,103,229,308.6
380,336,305,21,477,303.8
329,359,400,169,161,283.6
154,180,397,52,395,235.6
141,390,427,58,520,307.2
316,305,293,189,517,324
585,192,232,16,256,256.2
407,310,241,79,207,248.8
666,263,475,4,288,339.2
631,255,469,60,337,350.4
307,226,373,51,205,232.4
437,373,407,111,399,345.4
307,474,339,76,410,321.2
283,225,495,98,225,265.2
285,241,622,25,331,300.8
296,225,332,49,499,280.2
377,247,405,162,270,292.2
196,337,517,74,285,281.8
276,536,361,0,220,278.6
402,412,343,89,395,328.2
344,23,505,0,431,260.6
520,464,500,73,208,353
425,509,425,59,307,345
311,538,431,98,574,390.4
391,590,347,214,638,436
426,355,489,0,629,379.8
255,420,442,49,335,300.2
365,729,374,183,336,397.4
232,683,354,104,316,337.8
9,551,279,174,101,222.8
168,983,347,155,400,410.6
457,262,255,262,327,312.6
307,496,555,111,394,372.6
264,468,229,141,436,307.6
224,430,464,66,180,272.8
306,941,593,196,206,448.4
474,874,449,104,356,451.4
