Trial 1,Trial 2,Trial 3,Average
71,0,0,23.666666666666668
9,82,27,39.333333333333336
19,153,0,57.333333333333336
123,109,9,80.33333333333333
28,17,0,15
0,89,50,46.333333333333336
130,34,0,54.666666666666664
22,42,55,39.666666666666664
49,7,10,22
145,48,0,64.33333333333333
119,83,49,83.66666666666667
203,124,0,109
54,115,49,72.66666666666667
72,105,98,91.66666666666667
114,93,0,69
151,74,3,76
148,31,0,59.666666666666664
202,106,0,102.66666666666667
363,102,0,155
297,93,0,130
554,86,0,213.33333333333334
270,127,0,132.33333333333334
308,216,0,174.66666666666666
415,74,49,179.33333333333334
183,136,0,106.33333333333333
174,199,145,172.66666666666666
288,194,99,193.66666666666666
77,76,147,100
215,132,170,172.33333333333334
294,310,229,277.6666666666667
327,359,159,281.6666666666667
115,532,96,247.66666666666666
377,631,240,416
149,379,176,234.66666666666666
398,602,233,411
204,331,372,302.3333333333333
260,717,526,501
310,595,462,455.6666666666667
241,717,327,428.3333333333333
272,859,348,493
367,643,420,476.6666666666667
743,563,513,606.3333333333334
373,747,265,461.6666666666667
249,797,467,504.3333333333333
700,677,591,656
315,527,245,362.3333333333333
280,411,372,354.3333333333333
210,593,521,441.3333333333333
322,671,454,482.3333333333333
389,590,441,473.3333333333333
410,529,532,490.3333333333333
422,608,563,531
449,733,669,617
335,530,585,483.3333333333333
513,517,938,656
299,482,554,445
292,421,735,482.6666666666667
215,450,706,457
260,691,468,473
407,581,815,601
548,558,435,513.6666666666666
610,405,486,500.3333333333333
548,558,536,547.3333333333334
363,404,436,401
216,458,742,472
283,560,742,528.3333333333334
478,471,780,576.3333333333334
512,569,449,510
579,714,431,574.6666666666666
485,586,676,582.3333333333334
509,502,535,515.3333333333334
796,794,698,762.6666666666666
653,547,452,550.6666666666666
445,635,693,591
1175,696,698,856.3333333333334
980,965,717,887.3333333333334
720,620,582,640.6666666666666
478,815,589,627.3333333333334
194,813,831,612.6666666666666
256,927,687,623.3333333333334
299,620,1026,648.3333333333334
379,712,717,602.6666666666666
221,1488,813,840.6666666666666
478,949,398,608.3333333333334
654,940,918,837.3333333333334
573,905,827,768.3333333333334
322,827,976,708.3333333333334
641,535,588,588
473,853,679,668.3333333333334
483,962,1020,821.6666666666666
428,1037,1008,824.3333333333334
348,600,916,621.3333333333334
397,1497,930,941.3333333333334
228,683,971,627.3333333333334
476,811,1551,946
464,948,922,778
435,820,803,686
411,1161,1083,885
355,704,912,657
197,854,784,611.6666666666666
581,664,929,724.6666666666666
447,693,513,551
223,525,925,557.6666666666666
191,575,801,522.3333333333334
654,834,480,656
200,983,631,604.6666666666666
428,650,485,521
509,1082,464,685
547,827,652,675.3333333333334
462,800,407,556.3333333333334
295,1013,606,638
497,851,902,750
390,1577,1153,1040
207,1702,773,894
448,1338,613,799.6666666666666
212,1338,862,804
644,1169,1109,974
574,952,792,772.6666666666666
758,1361,873,997.3333333333334
715,1388,893,998.6666666666666
443,1277,995,905
442,1712,1015,1056.3333333333333
575,1756,836,1055.6666666666667
567,1246,586,799.6666666666666
702,1458,673,944.3333333333334
273,1112,960,781.6666666666666
304,799,977,693.3333333333334
418,855,1039,770.6666666666666
683,1447,1032,1054
944,923,1185,1017.3333333333334
295,887,911,697.6666666666666
404,847,729,660
404,1449,920,924.3333333333334
597,1515,788,966.6666666666666
776,1332,647,918.3333333333334
699,1068,891,886
504,1150,886,846.6666666666666
932,1320,1129,1127
584,1564,1248,1132
401,1604,1161,1055.3333333333333
472,1238,1282,997.3333333333334
732,1114,840,895.3333333333334
787,873,696,785.3333333333334
817,1697,658,1057.3333333333333
533,958,501,664
655,889,809,784.3333333333334
665,1148,836,883
617,1020,893,843.3333333333334
871,1179,1022,1024
696,1067,1095,952.6666666666666
337,1422,769,842.6666666666666
756,1570,1174,1166.6666666666667
688,1973,1484,1381.6666666666667
486,980,1312,926
666,1454,708,942.6666666666666
198,759,943,633.3333333333334
520,952,545,672.3333333333334
563,1330,596,829.6666666666666
