Trial 1,Trial 2,Trial 3,Average
2,0,0,0.6666666666666666
0,0,0,0
0,0,0,0
2,1,0,1
1,0,0,0.3333333333333333
0,1,1,0.6666666666666666
0,1,0,0.3333333333333333
0,0,2,0.6666666666666666
1,0,0,0.3333333333333333
1,1,1,1
2,0,1,1
2,1,0,1
1,0,1,0.6666666666666666
1,0,2,1
1,1,0,0.6666666666666666
0,1,0,0.3333333333333333
0,0,0,0
2,1,0,1
3,0,1,1.3333333333333333
3,0,1,1.3333333333333333
7,0,0,2.3333333333333335
2,1,0,1
4,1,0,1.6666666666666667
4,1,1,2
1,0,0,0.3333333333333333
2,1,2,1.6666666666666667
3,1,2,2
3,1,3,2.3333333333333335
1,0,2,1
3,4,2,3
6,5,3,4.666666666666667
3,7,2,4
6,5,5,5.333333333333333
4,6,1,3.6666666666666665
10,5,4,6.333333333333333
3,5,6,4.666666666666667
5,11,7,7.666666666666667
4,8,5,5.666666666666667
4,4,3,3.6666666666666665
7,8,4,6.333333333333333
8,7,4,6.333333333333333
16,5,5,8.666666666666666
5,10,3,6
5,14,4,7.666666666666667
13,8,6,9
8,4,0,4
6,9,1,5.333333333333333
5,11,6,7.333333333333333
8,8,1,5.666666666666667
8,9,1,6
10,8,3,7
9,5,4,6
11,7,5,7.666666666666667
5,7,2,4.666666666666667
9,5,5,6.333333333333333
5,0,2,2.3333333333333335
6,2,3,3.6666666666666665
4,4,3,3.6666666666666665
8,5,2,5
7,8,7,7.333333333333333
9,8,1,6
13,5,5,7.666666666666667
11,4,3,6
10,3,2,5
6,3,2,3.6666666666666665
6,6,6,6
10,6,5,7
13,5,2,6.666666666666667
18,8,6,10.666666666666666
14,5,7,8.666666666666666
14,8,7,9.666666666666666
9,6,5,6.666666666666667
13,10,5,9.333333333333334
8,11,7,8.666666666666666
19,14,7,13.333333333333334
19,17,5,13.666666666666666
10,10,7,9
9,9,7,8.333333333333334
2,17,5,8
1,13,2,5.333333333333333
3,9,1,4.333333333333333
3,15,8,8.666666666666666
4,24,7,11.666666666666666
7,22,1,10
11,18,10,13
7,13,11,10.333333333333334
5,15,13,11
9,13,7,9.666666666666666
8,18,8,11.333333333333334
6,15,8,9.666666666666666
7,17,12,12
9,10,7,8.666666666666666
9,18,8,11.666666666666666
8,8,10,8.666666666666666
7,16,12,11.666666666666666
10,14,9,11
7,11,3,7
4,14,10,9.333333333333334
8,15,15,12.666666666666666
3,8,7,6
11,8,7,8.666666666666666
11,15,7,11
4,9,8,7
4,8,4,5.333333333333333
10,12,7,9.666666666666666
3,15,7,8.333333333333334
8,10,7,8.333333333333334
7,15,12,11.333333333333334
11,13,7,10.333333333333334
7,19,8,11.333333333333334
4,23,9,12
7,20,9,12
4,33,14,17
3,37,8,16
3,27,10,13.333333333333334
3,23,10,12
12,20,8,13.333333333333334
6,19,6,10.333333333333334
13,26,9,16
8,31,6,15
8,29,13,16.666666666666668
7,33,16,18.666666666666668
4,27,8,13
9,22,9,13.333333333333334
13,26,10,16.333333333333332
8,23,10,13.666666666666666
5,13,18,12
10,14,13,12.333333333333334
9,28,8,15
15,14,14,14.333333333333334
3,16,10,9.666666666666666
5,15,8,9.333333333333334
7,30,9,15.333333333333334
14,21,8,14.333333333333334
7,13,6,8.666666666666666
12,13,14,13
9,16,12,12.333333333333334
14,13,16,14.333333333333334
7,21,11,13
6,29,14,16.333333333333332
8,18,12,12.666666666666666
