Trial 1,Trial 2,Trial 3,Average
4274,4827,2207,3769.3333333333335
3416,6280,3413,4369.666666666667
4916,7084,1542,4514
2525,5656,3171,3784
2347,5149,5071,4189
999,4650,5420,3689.6666666666665
1448,3869,6191,3836
2157,4703,3458,3439.3333333333335
977,2895,3535,2469
639,862,1907,1136
793,3510,2520,2274.3333333333335
275,1053,1778,1035.3333333333333
850,2524,1413,1595.6666666666667
0,2857,3011,1956
173,3256,962,1463.6666666666667
385,4080,1083,1849.3333333333333
1890,768,98,918.6666666666666
813,2163,0,992
2164,1917,673,1584.6666666666667
3051,922,96,1356.3333333333333
0,3225,1271,1498.6666666666667
612,2875,564,1350.3333333333333
1925,3785,846,2185.3333333333335
1128,3419,783,1776.6666666666667
2167,1905,518,1530
2868,2826,518,2070.6666666666665
57,3824,15,1298.6666666666667
1702,4444,0,2048.6666666666665
411,975,103,496.3333333333333
1690,1813,897,1466.6666666666667
2472,2929,14,1805
1542,1720,0,1087.3333333333333
521,609,563,564.3333333333334
871,1017,0,629.3333333333334
1140,2591,58,1263
1689,889,1102,1226.6666666666667
370,923,0,431
4185,2178,0,2121
593,2457,44,1031.3333333333333
1601,507,880,996
18,1774,0,597.3333333333334
2225,1442,114,1260.3333333333333
1120,321,477,639.3333333333334
921,906,456,761
359,2784,0,1047.6666666666667
924,2338,224,1162
289,3158,42,1163
171,2712,580,1154.3333333333333
429,2721,878,1342.6666666666667
1007,2041,1528,1525.3333333333333
808,4877,429,2038
1232,4303,378,1971
153,5660,630,2147.6666666666665
853,3191,621,1555
400,6015,0,2138.3333333333335
140,4319,1306,1921.6666666666667
1169,2199,1326,1564.6666666666667
2268,3122,233,1874.3333333333333
613,2809,920,1447.3333333333333
0,2556,0,852
57,2830,1112,1333
0,2584,276,953.3333333333334
36,2618,2312,1655.3333333333333
340,1526,245,703.6666666666666
2144,1072,424,1213.3333333333333
479,1516,1950,1315
1016,1558,1104,1226
1588,1093,897,1192.6666666666667
0,1982,1,661
2010,2055,709,1591.3333333333333
146,1906,1251,1101
1001,1432,934,1122.3333333333333
2946,2261,864,2023.6666666666667
1028,4043,1045,2038.6666666666667
2497,5068,954,2839.6666666666665
1648,4322,0,1990
2153,4042,1054,2416.3333333333335
2226,4673,1676,2858.3333333333335
1185,3132,617,1644.6666666666667
2605,983,0,1196
1739,2664,1911,2104.6666666666665
2558,1974,1888,2140
2277,2265,1423,1988.3333333333333
2594,1445,518,1519
4059,2092,692,2281
1377,2797,650,1608
1902,2416,873,1730.3333333333333
2698,1327,821,1615.3333333333333
3555,3039,948,2514
1333,1239,0,857.3333333333334
1273,965,1175,1137.6666666666667
1282,1049,0,777
480,1538,735,917.6666666666666
2059,3285,583,1975.6666666666667
2733,1527,802,1687.3333333333333
1397,788,1437,1207.3333333333333
1418,1203,0,873.6666666666666
644,2681,129,1151.3333333333333
1415,2077,0,1164
959,225,799,661
593,3733,1361,1895.6666666666667
659,650,0,436.3333333333333
1076,2543,1319,1646
338,2204,1235,1259
1389,2455,38,1294
502,888,1376,922
1334,3786,810,1976.6666666666667
767,4110,0,1625.6666666666667
2093,1633,371,1365.6666666666667
0,442,42,161.33333333333334
1351,720,0,690.3333333333334
928,623,1220,923.6666666666666
2229,31,563,941
1960,1751,0,1237
1367,763,0,710
781,911,472,721.3333333333334
1440,548,452,813.3333333333334
2413,1125,0,1179.3333333333333
1356,1512,574,1147.3333333333333
1430,2171,0,1200.3333333333333
2339,1631,435,1468.3333333333333
356,1345,1290,997
633,1038,605,758.6666666666666
1853,2494,1398,1915
4071,1019,580,1890
746,707,942,798.3333333333334
423,982,173,526
1961,924,911,1265.3333333333333
2074,1140,367,1193.6666666666667
1466,1012,908,1128.6666666666667
1721,1133,815,1223
1534,974,0,836
367,1618,1081,1022
1393,1868,0,1087
3632,1213,803,1882.6666666666667
1069,1953,0,1007.3333333333334
2042,3656,726,2141.3333333333335
1986,516,1466,1322.6666666666667
3497,2691,681,2289.6666666666665
2084,2009,1020,1704.3333333333333
1511,1819,632,1320.6666666666667
769,2538,0,1102.3333333333333
624,605,1029,752.6666666666666
1351,3065,665,1693.6666666666667
1077,2178,744,1333
742,2134,562,1146
1094,1715,562,1123.6666666666667
964,2591,2023,1859.3333333333333
952,2329,1410,1563.6666666666667
1761,3045,725,1843.6666666666667
2550,1685,1587,1940.6666666666667
987,1369,1140,1165.3333333333333
420,1123,513,685.3333333333334
2587,2497,1023,2035.6666666666667
98,3413,321,1277.3333333333333
1103,2550,1839,1830.6666666666667
1083,4042,3036,2720.3333333333335
1573,3227,2422,2407.3333333333335
459,2488,1770,1572.3333333333333
3939,3175,2560,3224.6666666666665
2577,1994,542,1704.3333333333333
1656,1942,2495,2031
1766,3524,2199,2496.3333333333335
931,4170,1693,2264.6666666666665
2416,2893,1020,2109.6666666666665
3644,4151,1864,3219.6666666666665
1659,3383,1990,2344
2710,1060,640,1470
1700,2227,1027,1651.3333333333333
1059,515,4406,1993.3333333333333
2463,814,638,1305
1336,1962,642,1313.3333333333333
1687,1091,2457,1745
2507,605,3242,2118
2745,1015,3573,2444.3333333333335
3965,709,2192,2288.6666666666665
2701,2241,58,1666.6666666666667
2723,4207,677,2535.6666666666665
1583,2212,1366,1720.3333333333333
2294,1071,1572,1645.6666666666667
1250,2387,4155,2597.3333333333335
1110,2674,2741,2175
317,3853,1950,2040
1191,1300,1860,1450.3333333333333
2627,2697,1799,2374.3333333333335
4225,1147,1591,2321
2342,1887,2286,2171.6666666666665
1409,1899,68,1125.3333333333333
2927,1872,2860,2553
2313,1043,2629,1995
2145,1057,732,1311.3333333333333
2015,946,1646,1535.6666666666667
2615,425,977,1339
0,0,588,196
543,566,116,408.3333333333333
2546,1656,1787,1996.3333333333333
372,1454,1615,1147
1179,1125,1409,1237.6666666666667
0,1163,2537,1233.3333333333333
652,240,2256,1049.3333333333333
438,1344,1093,958.3333333333334
0,2132,1394,1175.3333333333333
790,2426,495,1237
190,736,85,337
197,1307,544,682.6666666666666
1678,2318,602,1532.6666666666667
1461,2054,1493,1669.3333333333333
4321,4887,2270,3826
1422,1350,1505,1425.6666666666667
256,1482,417,718.3333333333334
1224,3155,1152,1843.6666666666667
1542,464,2264,1423.3333333333333
2774,2338,1144,2085.3333333333335
1485,1674,1758,1639
2813,1732,2009,2184.6666666666665
563,1454,243,753.3333333333334
920,1691,674,1095
1218,1745,2085,1682.6666666666667
227,2317,676,1073.3333333333333
2346,849,105,1100
1394,1093,1349,1278.6666666666667
0,1101,1727,942.6666666666666
2673,621,1614,1636
1642,1883,1648,1724.3333333333333
2553,1515,1089,1719
1783,1982,1313,1692.6666666666667
1252,769,1307,1109.3333333333333
937,1287,3160,1794.6666666666667
2212,2888,647,1915.6666666666667
1323,3537,1192,2017.3333333333333
1552,2865,1003,1806.6666666666667
302,2935,1619,1618.6666666666667
394,1707,195,765.3333333333334
1357,821,2441,1539.6666666666667
1808,2493,3580,2627
536,3839,1739,2038
1152,4258,2686,2698.6666666666665
870,448,3399,1572.3333333333333
1515,1494,2088,1699
1372,2102,3276,2250
1801,2263,5756,3273.3333333333335
841,601,3609,1683.6666666666667
1050,3377,3953,2793.3333333333335
1752,11,4611,2124.6666666666665
1556,1526,4829,2637
1892,457,4369,2239.3333333333335
2612,1578,1210,1800
2181,0,1803,1328
2277,1570,1376,1741
3557,1990,2359,2635.3333333333335
2711,3458,741,2303.3333333333335
4670,1680,1260,2536.6666666666665
1965,1734,2804,2167.6666666666665
1932,2500,1947,2126.3333333333335
1413,141,612,722
1339,2176,662,1392.3333333333333
1843,976,1246,1355
3741,2451,588,2260
2930,1294,383,1535.6666666666667
1965,1786,1655,1802
2191,0,417,869.3333333333334
4389,410,2831,2543.3333333333335
3222,649,1179,1683.3333333333333
3027,632,464,1374.3333333333333
3379,1517,656,1850.6666666666667
2860,448,741,1349.6666666666667
2036,1789,2692,2172.3333333333335
1250,1080,3047,1792.3333333333333
1197,2747,1135,1693
