Trial 1,Average
33,33
171,171
0,0
0,0
18,18
29,29
47,47
62,62
99,99
9,9
0,0
0,0
0,0
1,1
33,33
10,10
21,21
0,0
49,49
56,56
49,49
257,257
115,115
226,226
268,268
29,29
112,112
127,127
350,350
71,71
189,189
167,167
72,72
195,195
257,257
197,197
188,188
245,245
178,178
160,160
123,123
147,147
203,203
193,193
604,604
229,229
162,162
144,144
57,57
147,147
155,155
196,196
377,377
256,256
381,381
337,337
442,442
502,502
199,199
264,264
460,460
454,454
269,269
234,234
254,254
277,277
357,357
338,338
398,398
288,288
665,665
376,376
503,503
271,271
364,364
192,192
163,163
240,240
340,340
452,452
230,230
108,108
87,87
288,288
491,491
329,329
235,235
359,359
320,320
295,295
499,499
407,407
241,241
192,192
377,377
185,185
293,293
480,480
162,162
342,342
