Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Average
1,0,0,1,1,0.6
0,2,0,0,0,0.4
0,0,2,0,3,1
1,1,2,0,1,1
2,1,1,2,6,2.4
1,2,2,0,3,1.6
0,0,0,0,7,1.4
0,2,0,0,3,1
0,0,3,0,4,1.4
1,3,1,1,2,1.6
1,0,0,4,1,1.2
1,1,7,2,8,3.8
1,5,2,2,9,3.8
1,1,4,2,2,2
2,0,5,0,8,3
0,3,4,1,8,3.2
3,3,2,0,6,2.8
3,2,1,1,12,3.8
1,0,3,0,13,3.4
2,1,2,0,6,2.2
1,4,1,0,4,2
3,2,1,0,12,3.6
3,3,0,0,5,2.2
3,1,0,0,7,2.2
1,4,0,0,6,2.2
1,3,2,0,6,2.4
6,7,2,1,1,3.4
3,1,4,1,0,1.8
1,1,1,0,0,0.6
4,0,1,0,1,1.2
3,2,3,1,3,2.4
1,2,1,0,6,2
5,2,1,0,4,2.4
2,1,2,1,8,2.8
4,4,1,0,7,3.2
2,2,4,0,6,2.8
3,2,3,0,3,2.2
1,1,1,0,5,1.6
2,3,2,2,7,3.2
3,0,3,1,7,2.8
3,2,1,0,3,1.8
6,5,1,0,7,3.8
9,2,7,1,9,5.6
7,1,8,0,9,5
5,0,2,2,5,2.8
12,0,2,4,4,4.4
6,0,5,0,4,3
4,3,3,2,4,3.2
3,1,3,2,3,2.4
5,3,3,1,2,2.8
2,4,2,0,6,2.8
6,4,4,0,3,3.4
8,2,2,3,2,3.4
6,5,1,2,4,3.6
4,5,2,1,6,3.6
2,3,4,0,9,3.6
6,4,2,1,4,3.4
5,5,5,2,4,4.2
4,5,1,2,6,3.6
6,3,5,3,5,4.4
2,1,4,0,1,1.6
1,3,5,1,6,3.2
4,5,2,3,5,3.8
9,2,2,1,4,3.6
3,5,1,1,1,2.2
7,0,1,0,4,2.4
11,2,5,0,2,4
7,4,1,0,4,3.2
5,5,2,1,6,3.8
5,8,1,1,6,4.2
6,7,2,0,1,3.2
6,5,7,0,2,4
5,5,3,2,6,4.2
3,5,3,3,1,3
2,7,1,4,3,3.4
3,9,2,0,2,3.2
2,10,0,2,4,3.6
5,2,1,0,6,2.8
5,6,2,1,5,3.8
3,8,3,1,8,4.6
3,9,4,3,5,4.8
3,6,3,4,10,5.2
3,8,5,0,6,4.4
4,10,3,2,2,4.2
3,10,3,3,2,4.2
3,11,4,1,6,5
1,11,0,3,5,4
2,14,3,2,9,6
4,5,0,4,6,3.8
1,7,3,3,7,4.2
1,9,2,3,4,3.8
1,9,4,0,2,3.2
0,16,6,4,8,6.8
0,16,5,1,5,5.4
1,13,8,2,4,5.6
3,19,8,7,8,9
1,16,4,5,10,7.2
1,19,3,4,5,6.4
1,23,7,2,1,6.8
2,22,4,1,10,7.8
1,25,6,3,4,7.8
0,22,6,4,10,8.4
0,18,10,5,5,7.6
2,28,10,5,4,9.8
5,15,15,4,4,8.6
0,7,7,3,1,3.6
3,19,11,3,8,8.8
1,21,12,5,3,8.4
0,25,12,7,9,10.6
1,22,9,4,4,8
2,16,8,6,3,7
0,16,5,7,3,6.2
3,15,10,8,4,8
2,25,8,4,4,8.6
1,6,7,2,2,3.6
1,15,9,9,4,7.6
1,12,10,4,5,6.4
2,16,5,4,7,6.8
1,22,8,5,2,7.6
4,26,12,2,6,10
4,19,6,1,7,7.4
1,19,4,6,5,7
4,16,5,3,4,6.4
3,8,8,2,6,5.4
0,14,5,5,7,6.2
2,20,8,2,14,9.2
0,32,13,7,3,11
1,25,7,5,5,8.6
2,14,13,8,8,9
0,15,13,4,11,8.6
0,27,5,14,8,10.8
1,17,10,6,6,8
4,17,10,12,12,11
1,15,10,12,3,8.2
2,13,12,14,6,9.4
1,11,7,5,6,6
1,21,11,8,3,8.8
1,22,15,4,4,9.2
1,10,11,7,8,7.4
2,16,8,15,6,9.4
0,8,6,8,2,4.8
1,12,9,6,9,7.4
5,12,12,4,4,7.4
1,17,8,6,7,7.8
2,5,17,7,9,8
1,21,8,7,4,8.2
1,21,10,12,8,10.4
3,17,13,11,2,9.2
4,14,17,10,4,9.8
1,13,14,16,11,11
1,21,15,6,2,9
0,27,18,15,5,13
2,23,23,17,3,13.6
1,27,14,10,3,11
4,27,14,13,6,12.8
2,21,16,10,7,11.2
1,18,12,12,7,10
3,17,15,6,6,9.4
2,19,22,9,3,11
4,28,13,13,8,13.2
4,18,13,7,5,9.4
9,21,15,5,9,11.8
5,15,16,13,4,10.6
5,14,19,11,6,11
7,26,11,10,7,12.2
6,23,19,16,10,14.8
10,18,13,6,9,11.2
3,14,9,6,2,6.8
3,22,14,8,10,11.4
7,17,19,6,8,11.4
8,25,9,9,11,12.4
14,24,19,7,5,13.8
4,25,17,15,13,14.8
4,19,18,13,7,12.2
2,28,26,12,6,14.8
11,34,13,17,8,16.6
9,34,14,6,9,14.4
14,21,19,12,8,14.8
7,22,21,10,12,14.4
16,29,16,11,7,15.8
6,32,15,8,6,13.4
12,33,25,11,5,17.2
8,32,20,10,8,15.6
7,22,25,9,8,14.2
8,23,20,8,9,13.6
13,20,12,12,7,12.8
7,25,17,17,4,14
2,17,20,11,6,11.2
8,20,16,18,9,14.2
6,18,16,15,7,12.4
6,32,14,16,5,14.6
