Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Average
2,1,3,1,0,1.4
0,2,0,1,1,0.8
0,1,1,2,1,1
2,1,1,0,2,1.2
0,1,2,1,2,1.2
1,2,5,0,2,2
1,2,3,0,5,2.2
0,1,0,1,6,1.6
2,0,0,3,3,1.6
1,2,0,0,4,1.4
1,1,1,1,1,1
1,2,0,0,0,0.6
1,6,1,2,3,2.6
3,2,1,2,11,3.8
0,2,0,3,2,1.4
1,1,2,3,2,1.8
2,2,6,3,9,4.4
2,8,2,5,3,4
0,2,1,4,6,2.6
1,2,1,1,7,2.4
2,0,3,1,9,3
2,2,1,2,4,2.2
0,8,3,2,16,5.8
2,4,0,4,6,3.2
5,4,1,5,4,3.8
0,3,4,4,14,5
1,3,2,3,8,3.4
1,1,5,5,8,4
4,3,0,3,7,3.4
1,5,2,5,8,4.2
1,1,6,6,8,4.4
1,2,2,5,9,3.8
2,3,4,1,16,5.2
4,5,4,5,8,5.2
0,4,3,2,8,3.4
6,5,2,8,12,6.6
1,5,5,9,11,6.2
6,5,5,11,9,7.2
1,3,6,10,6,5.2
3,11,4,5,6,5.8
,,4,6,8,3.6
,,6,5,9,4
,,10,6,10,5.2
,,2,6,13,4.2
,,7,1,11,3.8
,,2,1,13,3.2
,,5,4,8,3.4
,,3,1,5,1.8
,,2,5,8,3
,,7,2,11,4
,,7,4,8,3.8
,,2,3,8,2.6
,,2,8,5,3
,,2,3,7,2.4
,,7,7,7,4.2
,,4,3,9,3.2
,,8,1,12,4.2
,,2,5,13,4
,,4,2,13,3.8
,,4,1,10,3
,,4,3,13,4
,,8,10,12,6
,,4,5,7,3.2
,,5,14,5,4.8
,,7,11,9,5.4
,,8,13,8,5.8
,,11,12,7,6
,,2,10,8,4
,,9,15,4,5.6
,,6,18,8,6.4
,,4,20,4,5.6
,,1,15,7,4.6
,,3,12,11,5.2
,,9,20,13,8.4
,,11,9,10,6
,,9,14,7,6
,,5,14,11,6
,,10,10,6,5.2
,,11,23,11,9
,,9,15,6,6
,,10,13,7,6
,,5,20,10,7
,,10,9,11,6
,,9,8,6,4.6
,,5,18,7,6
,,12,16,4,6.4
,,13,12,2,5.4
,,14,16,7,7.4
,,11,16,12,7.8
,,16,14,14,8.8
,,11,8,12,6.2
,,3,16,10,5.8
,,13,12,7,6.4
,,7,19,3,5.8
,,8,11,8,5.4
,,7,10,8,5
,,14,8,5,5.4
,,8,11,4,4.6
,,9,11,4,4.8
,,10,5,6,4.2
