Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Average
2,6,7,3,3,4.2
2,3,3,2,9,3.8
7,1,2,4,3,3.4
4,4,2,5,11,5.2
5,4,2,3,9,4.6
3,0,4,3,10,4
7,4,2,3,14,6
3,0,4,4,13,4.8
4,5,3,6,16,6.8
2,2,6,4,19,6.6
5,5,3,5,16,6.8
4,3,7,2,15,6.2
4,4,5,1,18,6.4
3,3,11,3,21,8.2
2,3,9,5,20,7.8
3,1,18,5,18,9
4,2,16,1,17,8
2,7,16,4,16,9
4,6,19,5,22,11.2
6,6,22,2,21,11.4
4,9,24,4,29,14
3,8,15,5,20,10.2
3,8,10,2,25,9.6
5,3,22,5,16,10.2
2,12,21,9,17,12.2
5,9,20,6,22,12.4
2,7,23,2,19,10.6
4,9,16,6,22,11.4
6,8,20,3,21,11.6
4,7,19,8,22,12
4,8,20,10,23,13
7,5,18,5,17,10.4
8,11,23,5,20,13.4
6,8,21,5,21,12.2
12,9,21,5,22,13.8
7,10,22,5,24,13.6
7,9,19,3,24,12.4
12,9,18,5,22,13.2
7,10,20,3,21,12.2
6,9,19,2,20,11.2
11,10,14,6,19,12
6,9,24,6,20,13
5,10,17,6,17,11
4,13,14,4,15,10
10,14,24,3,19,14
6,18,25,3,15,13.4
12,18,19,5,22,15.2
7,10,23,5,14,11.8
12,11,18,6,15,12.4
6,9,21,7,16,11.8
13,12,24,3,13,13
9,16,16,2,21,12.8
9,16,21,2,20,13.6
13,13,23,5,23,15.4
12,13,22,7,20,14.8
8,15,23,4,17,13.4
13,13,27,4,24,16.2
6,12,23,2,19,12.4
5,11,25,3,18,12.4
9,10,22,6,18,13
8,15,25,7,14,13.8
10,12,24,5,22,14.6
6,16,23,6,20,14.2
12,8,20,3,15,11.6
7,9,21,4,20,12.2
15,15,20,4,17,14.2
12,9,15,5,19,12
18,10,21,3,21,14.6
14,13,25,6,14,14.4
16,14,23,6,15,14.8
7,13,24,2,15,12.2
13,10,24,5,12,12.8
12,12,24,5,17,14
8,13,26,4,17,13.6
20,12,22,3,10,13.4
12,12,23,3,7,11.4
16,11,21,7,12,13.4
10,7,22,7,12,11.6
12,12,22,5,17,13.6
15,11,19,8,19,14.4
12,8,27,2,10,11.8
11,14,22,3,16,13.2
9,10,17,3,17,11.2
16,14,21,8,18,15.4
12,8,23,6,21,14
19,11,26,8,24,17.6
15,11,26,13,22,17.4
10,13,18,5,21,13.4
16,14,20,6,20,15.2
16,12,19,6,17,14
14,13,28,7,19,16.2
12,18,25,8,17,16
14,10,23,7,17,14.2
14,11,20,5,14,12.8
12,12,19,6,17,13.2
14,11,20,4,21,14
19,14,18,9,20,16
20,10,18,4,23,15
18,12,15,9,19,14.6
18,17,18,6,22,16.2
18,11,20,4,18,14.2
17,13,19,3,20,14.4
18,14,25,4,20,16.2
21,9,22,8,21,16.2
20,17,22,0,19,15.6
19,17,22,1,23,16.4
12,15,19,2,23,14.2
16,16,22,8,19,16.2
22,11,21,3,28,17
14,6,19,5,26,14
20,8,20,5,26,15.8
16,11,25,7,22,16.2
16,16,18,9,16,15
14,16,24,7,23,16.8
18,17,20,7,20,16.4
12,10,18,6,21,13.4
11,17,19,7,14,13.6
12,18,21,6,15,14.4
11,11,25,12,18,15.4
14,12,18,6,17,13.4
13,8,27,9,24,16.2
14,14,28,5,25,17.2
16,10,27,6,22,16.2
15,15,25,13,18,17.2
11,20,29,9,22,18.2
12,15,31,5,14,15.4
12,19,26,8,19,16.8
14,18,25,7,14,15.6
12,19,28,5,17,16.2
14,17,27,11,24,18.6
14,13,33,5,17,16.4
13,18,29,7,21,17.6
13,17,29,8,19,17.2
12,13,22,5,17,13.8
17,18,27,6,14,16.4
15,12,27,8,16,15.6
12,9,24,4,15,12.8
15,12,22,4,13,13.2
21,13,28,10,17,17.8
15,17,21,6,21,16
20,24,26,4,18,18.4
15,19,24,4,19,16.2
7,17,23,2,13,12.4
17,17,22,7,14,15.4
12,22,26,1,17,15.6
16,22,25,6,14,16.6
11,21,25,9,15,16.2
11,19,26,7,19,16.4
9,22,28,9,20,17.6
8,16,26,7,22,15.8
13,17,22,7,16,15
18,21,24,4,20,17.4
16,19,22,6,15,15.6
9,23,32,1,15,16
9,23,28,2,12,14.8
17,23,29,4,14,17.4
20,23,23,4,16,17.2
18,26,19,9,15,17.4
15,21,17,3,13,13.8
19,21,24,8,13,17
12,25,18,4,11,14
17,20,27,4,9,15.4
11,24,21,10,17,16.6
17,25,22,5,13,16.4
19,20,22,7,10,15.6
13,23,21,8,14,15.8
17,19,20,5,13,14.8
17,25,24,7,20,18.6
22,15,20,7,15,15.8
15,25,23,10,20,18.6
20,20,24,7,16,17.4
17,24,28,1,17,17.4
17,21,25,7,14,16.8
20,25,21,6,19,18.2
22,20,21,6,18,17.4
19,22,24,5,21,18.2
22,18,20,7,16,16.6
16,17,20,5,17,15
11,24,22,8,14,15.8
14,23,22,9,20,17.6
12,24,27,7,19,17.8
