Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Average
4,5,6,4,1,4,7,3,2,5,2,8,4.25
5,4,3,8,4,3,5,2,4,6,5,4,4.416666666666667
3,2,5,4,0,2,7,0,5,2,0,5,2.9166666666666665
5,6,6,7,0,3,10,1,1,8,2,1,4.166666666666667
2,3,7,4,2,2,11,1,2,8,2,3,3.9166666666666665
5,5,2,4,2,2,7,3,5,7,4,4,4.166666666666667
5,5,4,5,1,3,9,4,5,6,5,4,4.666666666666667
5,7,3,2,2,5,4,5,6,5,4,4,4.333333333333333
6,10,3,5,3,4,9,5,7,10,4,1,5.583333333333333
6,9,4,8,2,3,11,3,3,11,7,1,5.666666666666667
6,5,9,8,1,8,6,4,7,12,2,1,5.75
5,3,9,6,1,5,8,4,6,10,11,3,5.916666666666667
2,1,7,10,0,7,7,5,5,10,7,4,5.416666666666667
4,4,4,6,2,8,9,2,4,4,11,7,5.416666666666667
1,5,5,5,3,7,3,5,6,10,4,8,5.166666666666667
2,5,9,3,8,8,3,5,4,9,6,6,5.666666666666667
2,4,14,4,3,9,11,7,9,8,7,6,7
3,3,12,3,3,7,2,2,7,10,8,5,5.416666666666667
6,4,11,3,0,5,8,3,8,13,4,8,6.083333333333333
7,3,15,6,3,15,8,3,6,16,9,11,8.5
13,4,11,3,2,10,8,6,9,21,5,10,8.5
7,4,22,3,3,10,2,4,2,17,10,7,7.583333333333333
3,3,19,2,4,20,3,6,8,12,7,7,7.833333333333333
6,6,19,5,4,8,9,5,12,16,9,10,9.083333333333334
6,6,18,3,2,17,10,3,9,12,9,4,8.25
13,4,20,3,4,18,8,3,8,17,9,6,9.416666666666666
9,6,14,2,4,19,6,7,11,18,10,6,9.333333333333334
11,3,18,6,1,7,12,10,12,20,8,4,9.333333333333334
9,7,18,1,2,15,5,8,10,19,7,6,8.916666666666666
10,5,21,2,2,17,4,4,11,19,8,4,8.916666666666666
9,4,18,4,3,14,5,7,12,20,5,8,9.083333333333334
6,7,18,2,2,11,6,4,15,12,6,7,8
12,7,25,4,3,24,7,7,12,13,5,7,10.5
11,5,27,1,2,12,13,6,8,19,6,9,9.916666666666666
9,11,22,6,1,12,9,10,12,15,4,4,9.583333333333334
16,9,20,5,5,16,8,7,10,15,4,4,9.916666666666666
10,3,19,0,3,16,13,5,11,14,9,8,9.25
13,4,22,4,11,12,10,8,11,21,9,5,10.833333333333334
10,9,23,3,8,11,14,7,12,19,4,6,10.5
9,10,14,4,12,14,13,9,15,21,13,9,11.916666666666666
11,6,22,3,6,11,10,11,12,17,9,11,10.75
15,14,15,2,5,14,6,6,9,18,9,7,10
12,11,18,2,8,9,11,6,17,19,6,8,10.583333333333334
13,9,18,5,5,4,12,8,19,13,7,10,10.25
14,13,27,8,6,8,13,9,11,16,3,6,11.166666666666666
15,11,12,6,5,9,12,7,14,15,10,5,10.083333333333334
16,11,20,8,8,14,12,5,14,16,8,10,11.833333333333334
15,12,24,8,10,10,9,8,17,16,7,10,12.166666666666666
13,12,23,8,11,13,16,6,14,17,9,3,12.083333333333334
11,12,20,11,8,5,15,10,15,14,6,7,11.166666666666666
12,18,22,13,11,10,13,7,16,12,11,8,12.75
14,18,20,8,13,17,11,7,14,18,8,10,13.166666666666666
11,16,20,12,8,12,16,9,23,15,13,11,13.833333333333334
20,21,21,12,12,20,15,6,13,18,9,6,14.416666666666666
13,18,19,9,11,16,19,7,11,14,7,11,12.916666666666666
17,20,17,9,11,18,15,10,13,9,13,7,13.25
19,10,19,7,12,19,22,7,14,19,8,13,14.083333333333334
12,22,19,2,13,17,20,8,16,15,6,5,12.916666666666666
15,22,19,7,12,8,18,8,15,17,10,8,13.25
19,21,15,7,11,14,18,7,10,16,10,9,13.083333333333334
14,17,21,15,8,17,24,9,13,17,8,6,14.083333333333334
22,20,17,11,11,24,18,7,11,14,16,4,14.583333333333334
11,21,18,12,9,21,23,7,14,10,13,15,14.5
21,18,15,10,11,18,25,8,11,12,11,3,13.583333333333334
15,20,15,10,17,20,17,8,14,12,9,6,13.583333333333334
17,22,21,14,15,22,19,4,15,10,6,3,14
22,21,22,12,17,18,17,5,13,14,10,10,15.083333333333334
15,21,19,12,13,20,16,6,12,19,17,7,14.75
16,17,20,16,16,17,21,7,15,15,10,8,14.833333333333334
23,20,21,19,14,21,22,8,14,13,13,6,16.166666666666668
16,20,24,17,13,23,14,11,11,12,9,9,14.916666666666666
18,20,18,15,12,21,20,7,19,12,7,5,14.5
20,15,20,15,13,28,25,9,18,10,9,5,15.583333333333334
19,17,18,9,16,20,24,6,19,11,10,7,14.666666666666666
19,20,20,13,11,25,20,11,22,9,7,13,15.833333333333334
24,22,21,12,24,20,25,8,12,10,8,10,16.333333333333332
19,18,17,14,14,19,22,5,14,12,7,8,14.083333333333334
15,25,15,16,14,23,20,11,16,14,8,9,15.5
21,20,18,16,13,26,22,8,15,14,6,8,15.583333333333334
20,24,22,16,12,18,15,5,13,20,9,5,14.916666666666666
21,17,19,18,16,22,25,10,16,17,5,6,16
21,13,25,14,12,24,22,13,17,16,6,9,16
23,23,21,18,11,20,22,9,22,16,9,8,16.833333333333332
21,16,24,17,11,23,23,11,14,22,7,9,16.5
20,18,27,14,10,21,21,10,18,18,8,10,16.25
17,26,24,10,9,28,23,12,14,17,4,10,16.166666666666668
16,22,27,12,9,27,27,12,20,20,8,11,17.583333333333332
15,20,22,10,8,23,29,7,17,19,7,9,15.5
23,18,29,15,9,27,29,9,13,21,7,9,17.416666666666668
15,22,21,10,9,24,24,5,12,22,2,9,14.583333333333334
16,23,24,18,9,26,25,9,17,17,12,11,17.25
16,19,21,18,11,21,19,9,17,19,9,9,15.666666666666666
13,20,20,14,9,24,16,10,17,16,8,15,15.166666666666666
18,18,24,20,12,28,16,11,13,22,8,13,16.916666666666668
14,19,25,20,10,24,25,8,20,21,5,13,17
15,16,25,18,9,26,22,6,16,20,8,8,15.75
14,16,23,20,12,23,17,10,18,22,4,8,15.583333333333334
9,19,31,15,8,26,26,12,20,24,6,10,17.166666666666668
16,17,24,18,15,21,15,16,18,23,11,10,17
14,20,19,9,13,24,14,13,12,16,9,11,14.5
