Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Average
3,5,3,7,4,4.4
3,5,5,6,3,4.4
3,5,5,1,4,3.6
2,1,3,2,0,1.6
6,4,8,5,6,5.8
6,6,8,5,3,5.6
5,4,9,8,4,6
3,7,4,7,6,5.4
10,11,7,7,11,9.2
4,10,11,4,11,8
6,7,12,3,7,7
6,7,10,6,8,7.4
4,13,6,5,5,6.6
4,12,6,2,8,6.4
8,11,11,4,6,8
9,11,13,5,11,9.8
3,16,17,7,7,10
4,16,15,5,12,10.4
6,10,17,4,8,9
5,15,21,4,3,9.6
7,15,16,4,7,9.8
3,17,19,6,13,11.6
5,9,18,4,11,9.4
5,11,15,2,12,9
5,12,20,4,14,11
5,10,24,3,10,10.4
5,11,23,4,9,10.4
5,11,19,4,11,10
4,10,18,5,8,9
8,12,21,6,14,12.2
3,7,25,5,10,10
5,13,24,6,14,12.4
8,12,21,4,11,11.2
8,11,21,6,18,12.8
9,12,20,7,15,12.6
2,9,25,4,11,10.2
3,8,22,4,12,9.8
13,13,21,5,18,14
4,13,18,9,23,13.4
10,11,21,6,13,12.2
,,18,11,16,9
,,22,10,9,8.2
,,18,10,10,7.6
,,25,9,15,9.8
,,16,8,13,7.4
,,22,8,16,9.2
,,18,9,17,8.8
,,22,10,21,10.6
,,23,12,17,10.4
,,15,14,19,9.6
,,12,11,15,7.6
,,16,6,16,7.6
,,17,7,20,8.8
,,19,7,16,8.4
,,16,5,11,6.4
,,19,5,13,7.4
,,18,5,12,7
,,19,4,16,7.8
,,16,8,16,8
,,14,7,14,7
,,23,8,16,9.4
,,20,4,14,7.6
,,26,8,11,9
,,14,13,19,9.2
,,12,10,17,7.8
,,19,12,12,8.6
,,18,13,18,9.8
,,22,6,17,9
,,18,14,15,9.4
,,22,7,18,9.4
,,17,8,18,8.6
,,25,13,15,10.6
,,25,11,13,9.8
,,24,10,8,8.4
,,16,13,14,8.6
,,20,11,15,9.2
,,22,9,13,8.8
,,23,7,15,9
,,24,6,14,8.8
,,18,12,18,9.6
,,25,5,16,9.2
,,22,11,21,10.8
,,23,14,14,10.2
,,22,12,20,10.8
,,23,7,15,9
,,16,10,16,8.4
,,19,14,19,10.4
,,23,12,18,10.6
,,23,8,17,9.6
,,24,11,20,11
,,20,12,19,10.2
,,23,9,21,10.6
,,21,10,19,10
,,27,10,17,10.8
,,22,14,19,11
,,17,15,23,11
,,22,18,22,12.4
,,19,9,23,10.2
,,23,11,21,11
,,21,11,18,10
