Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Trial 13,Trial 14,Trial 15,Trial 16,Trial 17,Trial 18,Trial 19,Trial 20,Average
5,4,5,1,3,2,5,4,2,2,7,4,3,4,4,4,2,10,0,6,3.85
4,2,7,5,1,3,2,6,4,3,4,4,3,1,3,1,7,3,4,2,3.45
5,5,2,5,3,1,1,2,3,5,5,5,3,3,6,3,4,2,1,4,3.4
6,3,5,3,4,3,3,3,4,1,3,2,5,4,2,4,5,5,2,3,3.5
6,2,3,3,4,3,3,5,3,2,6,3,4,3,1,2,1,5,2,2,3.15
5,4,7,5,3,3,2,3,3,3,2,2,3,3,1,3,2,7,4,3,3.4
3,4,6,6,2,3,1,5,2,3,5,4,7,3,5,2,3,4,2,5,3.75
5,6,4,2,3,3,4,7,5,2,3,7,4,10,5,2,4,3,2,2,4.15
8,3,2,6,3,1,3,10,2,1,6,7,9,2,5,4,6,3,2,2,4.25
2,2,5,7,1,3,5,6,1,2,1,4,5,2,7,2,4,1,4,3,3.35
2,3,2,8,2,1,4,9,1,3,7,4,8,3,14,5,2,3,3,4,4.4
3,3,4,11,3,1,4,5,4,4,9,3,16,4,12,3,4,7,1,1,5.1
2,4,1,10,0,3,6,7,0,1,8,5,6,4,13,2,4,4,6,3,4.45
4,0,1,9,6,2,4,11,0,5,7,7,6,1,12,0,3,3,5,2,4.4
2,5,2,13,3,3,5,13,2,2,10,4,12,1,8,4,2,2,1,2,4.8
4,2,1,16,4,2,9,8,3,7,7,9,7,2,8,4,1,1,5,2,5.1
2,4,7,15,4,4,3,5,7,2,7,8,6,0,11,0,4,6,4,4,5.15
2,4,3,21,1,4,6,4,0,3,9,13,7,0,11,3,7,6,9,5,5.9
5,5,3,15,3,1,7,7,2,2,6,4,12,2,14,0,0,5,8,2,5.15
0,1,2,12,4,3,8,6,8,6,14,8,12,1,12,2,5,4,3,4,5.75
2,3,3,16,4,2,8,4,2,4,18,8,9,2,15,2,10,5,4,7,6.4
2,4,3,14,5,10,8,11,1,1,8,8,13,0,17,3,7,5,4,2,6.3
2,4,4,15,3,4,9,6,4,0,12,8,9,4,17,1,7,6,6,6,6.35
2,1,1,14,5,3,13,6,2,6,12,3,11,1,15,2,8,5,4,4,5.9
4,4,4,18,3,3,11,8,3,9,6,8,15,1,20,3,10,3,4,6,7.15
4,3,7,12,8,6,7,12,5,8,9,6,14,1,18,3,12,4,6,7,7.6
2,7,2,14,4,2,10,4,2,5,6,6,13,0,16,3,7,3,9,3,5.9
2,2,3,16,3,6,5,6,2,5,9,7,11,2,21,2,14,2,4,1,6.15
3,2,6,16,4,3,12,7,5,6,8,5,12,1,19,7,6,6,4,6,6.9
5,5,2,18,4,5,6,7,2,11,11,7,8,0,15,1,8,6,5,5,6.55
5,3,3,19,6,6,9,6,5,9,9,9,5,3,19,0,11,1,5,1,6.7
5,3,2,12,7,8,5,7,7,12,14,7,6,4,16,2,10,6,7,5,7.25
7,7,1,14,5,8,7,5,6,12,10,7,5,3,13,2,18,2,2,3,6.85
