Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Average
10802,2872,2233,4813,5444,5232.8
2774,2095,3478,4482,3430,3251.8
5670,2139,1151,6337,652,3189.8
4874,3421,2625,3784,95,2959.8
2120,4766,1106,3061,1471,2504.8
2291,2367,1452,853,1331,1658.8
2916,4451,2200,764,1102,2286.6
1681,3498,814,1305,1853,1830.2
1561,1611,643,0,1222,1007.4
3316,1956,0,0,1754,1405.2
4866,1243,0,2250,541,1780
4191,1616,931,1133,1532,1880.6
3119,1646,0,786,1707,1451.6
2255,383,467,0,627,746.4
1841,10,0,785,2860,1099.2
1034,229,304,596,2277,888
1836,413,353,0,2147,949.8
2393,278,0,647,225,708.6
2129,564,187,0,186,613.2
314,642,0,654,0,322
1085,177,0,844,438,508.8
531,203,846,553,1210,668.6
758,0,497,588,1282,625
80,847,0,0,2817,748.8
223,0,0,0,1798,404.2
1022,520,244,0,1635,684.2
1504,0,1078,597,1422,920.2
0,45,338,0,284,133.4
1637,0,1902,579,1540,1131.6
672,0,479,0,975,425.2
997,536,790,0,800,624.6
390,1689,0,0,0,415.8
0,99,1184,0,1652,587
0,1158,391,1091,886,705.2
0,459,520,561,1019,511.8
415,0,1542,1190,1035,836.4
0,837,1887,127,324,635
0,196,390,478,0,212.8
82,2756,888,0,2019,1149
0,785,684,0,1554,604.6
0,399,2879,0,0,655.6
212,250,447,623,415,389.4
834,1549,1004,539,275,840.2
2351,494,634,464,851,958.8
933,690,358,1103,655,747.8
2228,503,1409,0,2051,1238.2
3779,1715,1034,457,859,1568.8
2484,1994,2328,0,1397,1640.6
1671,3055,1684,0,1163,1514.6
2613,3403,1889,0,3478,2276.6
5841,3004,1260,0,2946,2610.2
3175,1719,1822,6,1905,1725.4
2583,2625,1515,345,4652,2344
1920,3209,1126,0,1780,1607
3673,4662,1230,0,2813,2475.6
4675,1609,986,0,1325,1719
3793,643,1554,0,1544,1506.8
6998,4025,615,0,2085,2744.6
2823,1088,2372,0,1677,1592
2898,1081,1662,0,1368,1401.8
331,1124,2325,0,421,840.2
3825,1093,2464,368,2359,2021.8
3433,188,802,1000,433,1171.2
1923,1666,2778,0,1855,1644.4
676,0,1909,0,0,517
1179,606,3335,0,0,1024
2017,2288,5225,435,751,2143.2
1614,1359,3001,0,0,1194.8
1751,952,3652,418,363,1427.2
1329,1184,3192,1831,3231,2153.4
1010,1330,2003,1251,738,1266.4
2173,1336,2215,0,239,1192.6
720,1707,2092,547,317,1076.6
1011,194,818,0,105,425.6
2272,854,1385,0,736,1049.4
761,592,3028,0,698,1015.8
2073,1536,1544,452,1385,1398
1911,945,1423,0,549,965.6
984,967,2041,0,130,824.4
685,1096,2334,0,0,823
1926,561,929,439,755,922
927,2360,0,635,1045,993.4
1080,1687,971,0,473,842.2
390,145,1589,287,151,512.4
1300,2023,113,0,355,758.2
1357,466,2678,0,1164,1133
2211,1313,2449,0,209,1236.4
369,0,2691,0,999,811.8
1093,1859,1430,0,677,1011.8
1235,2384,1790,0,0,1081.8
555,0,754,0,0,261.8
0,1224,788,0,128,428
1524,2345,585,0,0,890.8
1031,721,4119,0,893,1352.8
