Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Average
4609,7309,4647,1753,3242,4312
4587,4854,2336,992,1209,2795.6
3050,3338,2635,2784,1354,2632.2
4395,5361,1826,913,1178,2734.6
2841,3926,1965,2987,1343,2612.4
1463,1401,2306,2779,1175,1824.8
1430,3370,1713,2419,1978,2182
547,1947,630,577,1101,960.4
2968,2193,3416,3499,1445,2704.2
1651,2468,1072,1687,1715,1718.6
278,576,1384,2308,1455,1200.2
463,523,1122,3243,1286,1327.4
579,827,2403,4077,2058,1988.8
51,617,865,1741,280,710.8
333,483,325,1145,3063,1069.8
509,621,953,2190,696,993.8
134,1261,322,2465,750,986.4
117,612,1456,2029,1497,1142.2
530,1392,1185,1547,1568,1244.4
0,439,1231,949,0,523.8
0,396,1456,2885,1460,1239.4
0,290,1770,2098,756,982.8
543,1163,2048,2266,701,1344.2
0,99,3736,2987,1178,1600
0,466,887,245,1160,551.6
0,3927,551,1535,2038,1610.2
9,865,222,2449,863,881.6
0,1534,1917,822,2865,1427.6
0,3168,3467,141,1559,1667
171,1559,988,1084,352,830.8
450,947,1131,1414,1637,1115.8
307,0,0,1007,777,418.2
26,1153,1454,484,1363,896
784,408,1055,1031,544,764.4
677,399,1060,863,1055,810.8
0,93,782,752,2065,738.4
19,0,0,1515,4602,1227.2
369,1135,1073,1727,1019,1064.6
760,465,1692,2044,1225,1237.2
280,2118,2303,3619,608,1785.6
,,1945,774,1719,887.6
,,1411,2029,650,818
,,2288,2091,1667,1209.2
,,3167,1757,2237,1432.2
,,2600,687,2545,1166.4
,,1229,2822,305,871.2
,,3184,1144,1659,1197.4
,,1423,568,1032,604.6
,,151,1758,454,472.6
,,2989,1746,1295,1206
,,3033,81,2105,1043.8
,,930,2403,1663,999.2
,,3154,874,1501,1105.8
,,2087,1882,1740,1141.8
,,1943,657,249,569.8
,,1846,2419,1078,1068.6
,,1272,1424,335,606.2
,,3133,1709,1322,1232.8
,,1472,0,1270,548.4
,,1951,945,1721,923.4
,,794,1154,973,584.2
,,1608,1404,2072,1016.8
,,349,2309,2094,950.4
,,1338,685,738,552.2
,,2044,1239,2034,1063.4
,,2604,1610,1447,1132.2
,,957,719,961,527.4
,,1881,3424,554,1171.8
,,1741,1504,1369,922.8
,,1137,1815,593,709
,,2009,2305,1498,1162.4
,,1531,2358,1082,994.2
,,742,527,2018,657.4
,,1047,1888,1779,942.8
,,2880,796,631,861.4
,,865,2249,1483,919.4
,,855,4029,1574,1291.6
,,1447,2938,2843,1445.6
,,1318,2688,207,842.6
,,1313,3038,451,960.4
,,580,2564,1527,934.2
,,747,2631,90,693.6
,,855,1341,2099,859
,,1404,2354,607,873
,,1974,3083,587,1128.8
,,1492,1038,1303,766.6
,,192,1948,2090,846
,,487,2669,1294,890
,,624,1626,1157,681.4
,,559,566,942,413.4
,,323,0,3262,717
,,915,1021,1759,739
,,1172,0,915,417.4
,,1441,0,1077,503.6
,,765,846,675,457.2
,,1900,1325,1777,1000.4
,,835,173,637,329
,,2528,885,1054,893.4
,,369,1114,1338,564.2
,,154,599,2667,684
