Trial 1,Trial 2,Trial 3,Average
2782,2757,4928,3489
1762,853,3677,2097.3333333333335
3380,1467,3193,2680
1529,2077,4714,2773.3333333333335
1732,1855,3877,2488
2249,1423,2789,2153.6666666666665
766,902,275,647.6666666666666
1440,1168,2733,1780.3333333333333
1116,1596,2125,1612.3333333333333
125,210,1494,609.6666666666666
1257,904,480,880.3333333333334
0,456,1819,758.3333333333334
289,613,1075,659
538,0,1787,775
2011,99,556,888.6666666666666
888,130,1690,902.6666666666666
1195,849,129,724.3333333333334
746,492,587,608.3333333333334
1682,1183,312,1059
1772,485,199,818.6666666666666
1692,0,0,564
3360,329,496,1395
1382,0,426,602.6666666666666
2378,0,0,792.6666666666666
1702,0,2322,1341.3333333333333
0,374,0,124.66666666666667
140,553,0,231
355,636,0,330.3333333333333
538,525,571,544.6666666666666
3072,691,1187,1650
753,1136,569,819.3333333333334
0,35,1559,531.3333333333334
0,1810,188,666
0,1024,2054,1026
526,0,1135,553.6666666666666
1174,1220,576,990
343,622,251,405.3333333333333
1495,651,4114,2086.6666666666665
216,2780,2138,1711.3333333333333
0,2063,2738,1600.3333333333333
0,1256,1773,1009.6666666666666
0,269,932,400.3333333333333
0,2336,792,1042.6666666666667
0,1081,847,642.6666666666666
0,1530,150,560
0,3202,0,1067.3333333333333
0,470,184,218
0,1513,0,504.3333333333333
0,1400,0,466.6666666666667
0,1465,1877,1114
0,1332,1531,954.3333333333334
0,3695,381,1358.6666666666667
0,3967,1211,1726
0,3889,1593,1827.3333333333333
0,1361,1357,906
0,2186,0,728.6666666666666
0,2352,652,1001.3333333333334
0,1195,0,398.3333333333333
0,0,1644,548
0,897,0,299
0,1235,314,516.3333333333334
0,546,0,182
0,1080,367,482.3333333333333
0,1595,1241,945.3333333333334
0,1366,0,455.3333333333333
0,1151,1762,971
0,0,1960,653.3333333333334
0,0,1320,440
308,1606,1185,1033
0,488,1019,502.3333333333333
0,1180,1272,817.3333333333334
1767,1014,1193,1324.6666666666667
379,324,493,398.6666666666667
904,386,1328,872.6666666666666
1410,298,656,788
411,512,1136,686.3333333333334
290,629,1580,833
0,492,385,292.3333333333333
537,241,1246,674.6666666666666
260,864,3893,1672.3333333333333
1954,90,1129,1057.6666666666667
1103,0,1201,768
1171,152,0,441
1132,1407,677,1072
695,0,1184,626.3333333333334
1370,0,1705,1025
3033,1959,2143,2378.3333333333335
649,1188,2743,1526.6666666666667
499,141,1488,709.3333333333334
343,862,4292,1832.3333333333333
0,1625,963,862.6666666666666
520,2858,0,1126
1600,798,661,1019.6666666666666
0,4898,293,1730.3333333333333
417,1560,1177,1051.3333333333333
702,1999,1335,1345.3333333333333
1575,2284,0,1286.3333333333333
507,1559,676,914
0,2006,1031,1012.3333333333334
0,2971,2655,1875.3333333333333
